week,indicator,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
202037,7,18,0,78,0,0,1,44,GRAND EST
202037,7,0,0,0,0,0,0,75,NOUVELLE-AQUITAINE
202037,7,576,0,1412,7,0,17,84,AUVERGNE-RHONE-ALPES
202037,7,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
202037,7,0,0,0,0,0,0,53,BRETAGNE
202037,7,50,0,168,2,0,6,24,CENTRE-VAL-DE-LOIRE
202037,7,0,0,0,0,0,0,94,CORSE
202037,7,239,0,707,2,0,6,11,ILE-DE-FRANCE
202037,7,17,0,125,0,0,2,76,OCCITANIE
202037,7,142,0,484,2,0,8,32,HAUTS-DE-FRANCE
202037,7,0,0,0,0,0,0,28,NORMANDIE
202037,7,383,0,1375,10,0,36,52,PAYS-DE-LA-LOIRE
202037,7,280,0,756,5,0,14,93,PROVENCE-ALPES-COTE-D-AZUR
202036,7,32,0,108,1,0,2,44,GRAND EST
202036,7,0,0,0,0,0,0,75,NOUVELLE-AQUITAINE
202036,7,286,0,999,4,0,13,84,AUVERGNE-RHONE-ALPES
202036,7,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
202036,7,0,0,0,0,0,0,53,BRETAGNE
202036,7,39,0,130,1,0,4,24,CENTRE-VAL-DE-LOIRE
202036,7,0,0,0,0,0,0,94,CORSE
202036,7,245,0,637,2,0,5,11,ILE-DE-FRANCE
202036,7,122,0,408,2,0,7,76,OCCITANIE
202036,7,0,0,0,0,0,0,32,HAUTS-DE-FRANCE
202036,7,0,0,0,0,0,0,28,NORMANDIE
202036,7,520,0,1540,14,0,41,52,PAYS-DE-LA-LOIRE
202036,7,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
202035,7,0,0,0,0,0,0,44,GRAND EST
202035,7,0,0,0,0,0,0,75,NOUVELLE-AQUITAINE
202035,7,145,0,414,2,0,5,84,AUVERGNE-RHONE-ALPES
202035,7,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
202035,7,0,0,0,0,0,0,53,BRETAGNE
202035,7,0,0,0,0,0,0,24,CENTRE-VAL-DE-LOIRE
202035,7,0,0,0,0,0,0,94,CORSE
202035,7,432,0,1018,4,0,9,11,ILE-DE-FRANCE
202035,7,35,0,188,1,0,4,76,OCCITANIE
