"Date","Rang","Plat"
"26/04/2019",2,"Omelette bio"
"26/04/2019",3,"Courgettes à la tomate"
"26/04/2019",5,"Emmental"
"26/04/2019",6,"Kiwi bio°"
"29/04/2019",1,"Salade verte aux dés de gruyère"
"29/04/2019",2,"Hachis Parmentier*"
"29/04/2019",6," -"
"29/04/2019",6,"Île flottante"
"30/04/2019",1,"Concombres sauce crème"
"30/04/2019",2,"Chili de légumes au tofu bio riz"
"30/04/2019",6,"Fromage blanc / miel"
"02/05/2019",1,"Pizza au fromage"
"02/05/2019",2,"Viande de volaille Kebab"
"02/05/2019",3,"Haricots verts/haricots beurre"
"02/05/2019",5,"Edam"
"02/05/2019",6,"Fraises à la chantilly"
"03/05/2019",1,"Radis bio"
"03/05/2019",2,"Poisson meunière"
"03/05/2019",3,"Epinards à la crème"
"03/05/2019",5,"Tomme noire"
"03/05/2019",6,"Tarte aux pommes"
"06/05/2019",1,"salade de lentilles aux des de gruyere "
"06/05/2019",2,"Nuggets de dinde"
"06/05/2019",3,"Ratatouille"
"06/05/2019",6,"Salade de fruits frais (ananas, pastèque, melon, pomme, ora)"
"07/05/2019",1,"Crêpe au fromage"
"07/05/2019",2,"Marmite du Perray aux dés de saumon"
"07/05/2019",3,"Galettes de légumes"
"07/05/2019",5,"Morbier"
"07/05/2019",6,"Kiwi bio°"
"09/05/2019",8,"menu depannage "
"10/05/2019",1,"Salade verte / demi-oeuf bio"
"10/05/2019",2,"Galette de soja  tomate / basilic et sauce tomate"
"10/05/2019",3,"Riz / sarrasin"
"10/05/2019",6,"Tarte au citron"
"13/05/2019",1,"Tarte au fromage "
"13/05/2019",2,"Pilon de poulet confit"
"13/05/2019",3,"Petits pois"
"13/05/2019",5,"Gouda"
"13/05/2019",6,"Fraises"
"14/05/2019",1,"Concombres"
"14/05/2019",2,"Omelette bio"
"14/05/2019",3,"Pâtes bio et gruyère râpé"
"14/05/2019",6,"Fromage blanc BBC°"
"15/05/2019",1,"Gaspacho"
"15/05/2019",2,"Dos de lieu au poivre rose"
"15/05/2019",3,"Riz basmati"
"15/05/2019",5,"Fromage Le Mouillotin"
"15/05/2019",6,"Compote pomme et framboise"
"16/05/2019",1,"Radis bio"
"16/05/2019",2,"Boulettes de boeuf sauce tomate"
"16/05/2019",3,"Carottes"
"16/05/2019",6,"Banane"
"16/05/2019",6,"Sauce chocolat"
"16/05/2019",8,"Lait bio"
"17/05/2019",1,"Dés de betteraves au chèvre"
"17/05/2019",2,"Parmentier de poisson  "
"17/05/2019",3,"Salade verte"
"17/05/2019",6,"Ananas"
"20/05/2019",1,"Melon"
"20/05/2019",2,"Dhal de lentilles bio°"
"20/05/2019",3,"Céréales gourmandes bio"
"20/05/2019",6,"Yaourt fermier bio°"
"21/05/2019",1,"Salade verte aux graines de tournesol"
"21/05/2019",2,"Burger à l'émincé de dinde"
"21/05/2019",3,"Frites"
"21/05/2019",6,"Yaourt aromatisé"
"22/05/2019",1,"Radis"
"22/05/2019",3,"Sauce bolognaise végétale"
"22/05/2019",3,"Pâtes bio et gruyère râpé"
"22/05/2019",5,"Gruyère râpé"
"22/05/2019",6," -"
"22/05/2019",6,"Île flottante"
"23/05/2019",1,"Salade de tomates"
"23/05/2019",2,"Sauté de boeuf* au gingembre"
"23/05/2019",3,"Gratin de choux fleurs"
"23/05/2019",5,"Camembert"
"23/05/2019",6,"Eclair au chocolat"
"24/05/2019",1,"Salade de riz (riz, maïs, carottes, poivrons)"
"24/05/2019",2,"Filet de lieu au beurre blanc"
"24/05/2019",3,"Poêlée de légumes"
"24/05/2019",5,"Saint-Paulin "
"24/05/2019",6,"Salade de fruits frais (ananas, pastèque, melon, pomme, ora)"
"27/05/2019",1,"Salade de pâtes Napoli"
"27/05/2019",2,"Rôti de porc au jus°"
"27/05/2019",3,"Purée de brocolis"
"27/05/2019",5,"Cantal"
"27/05/2019",6,"Fraises"
"28/05/2019",1,"Concombres"
"28/05/2019",2,"Blanquette de veau*"
"28/05/2019",3,"Gratin dauphinois"
"28/05/2019",6,"Flan caramel"
"29/05/2019",1,"Crêpe au fromage"
"29/05/2019",2,"Rôti de boeuf*"
"29/05/2019",3,"Petits pois"
"29/05/2019",5,"Saint-Nectaire"
"29/05/2019",6,"Banane"
"29/05/2019",8,"Ketchup"
"31/05/2019",8,"repas froid"
"03/06/2019",1,"Salade coleslaw"
"03/06/2019",2,"Lasagnes* napolitaines"
"03/06/2019",6,"Petits suisses aromatisés"
"04/06/2019",1,"Pastèque"
"04/06/2019",2,"Tortilla aux pommes de terre"
"04/06/2019",3,"Salade verte"
"04/06/2019",5,"Fromage Chanteneige"
"04/06/2019",6,"Crème dessert lait et chocolat"
"05/06/2019",1,"Betteraves"
"05/06/2019",2,"Poulet fermier"
"05/06/2019",3,"Mogettes"
"05/06/2019",6,"Fromage blanc "
"05/06/2019",8,"cookie pepites de chocolats"
"06/06/2019",1,"Crêpe au fromage"
"06/06/2019",2,"Sauté de dinde sauce forestière"
"06/06/2019",3,"Poêlée de légumes (carottes, haricots verts, pdt, brocolis)"
"06/06/2019",5,"Fromage bio"
"06/06/2019",6,"Fraises"
"07/06/2019",1,"Salade de tomates"
"07/06/2019",2,"Poisson pané"
"07/06/2019",3,"Epinards à la crème"
"07/06/2019",5,"Mimolette"
"07/06/2019",6,"Tarte au citron"
"11/06/2019",1,"Dés de betteraves au chèvre"
"11/06/2019",2,"Galette de soja  tomate / basilic et sauce tomate"
"11/06/2019",3,"Riz"
"11/06/2019",6,"Salade de fruits frais (ananas, pastèque, melon, pomme, ora)"
"12/06/2019",1,"Pastèque"
"12/06/2019",2,"Jambon fumé"
"12/06/2019",3,"Gratinée de légumes (pdt, carottes, brocolis)"
"12/06/2019",5,"Edam"
"12/06/2019",6,"Crème dessert lait et chocolat"
"13/06/2019",1,"Salade verte au surimi"
"13/06/2019",2,"Rôti de dinde au jus"
"13/06/2019",3,"Pommes noisettes"
"13/06/2019",6,"Yaourt fermier bio°"
"14/06/2019",1,"Tarte au fromage "
"14/06/2019",2,"Poisson meunière"
"14/06/2019",3,"Courgettes à la tomate"
"14/06/2019",5,"Tomme blanche"
"14/06/2019",6,"Banane"
"17/06/2019",1,"Batonnets de concombres sauce crème"
"17/06/2019",2,"Lasagnes végétales"
"17/06/2019",3,"Salade verte"
"17/06/2019",6," -"
"17/06/2019",6,"Île flottante"
"18/06/2019",1,"Melon"
"18/06/2019",2,"Filet de poulet"
"18/06/2019",3,"Ratatouille"
"18/06/2019",6,"Fondant au chocolat"
"18/06/2019",8,"Lait bio"
"19/06/2019",1,"Gaspacho"
"19/06/2019",2,"Poisson meunière"
"19/06/2019",3,"Riz basmati lentilles corail, petits pois et curry"
"19/06/2019",5,"Cantal"
"19/06/2019",6,"Fruit de saison"
"20/06/2019",1,"Radis bio"
"20/06/2019",2,"Sauté de veau* sauce aigre douce"
"20/06/2019",3,"Galettes de légumes"
"20/06/2019",6,"Fromage blanc bbc avec sucre et fraises"
"21/06/2019",1,"Tomates (maison)"
"21/06/2019",2,"Marmite du Perray"
"21/06/2019",3,"Pommes rissolées"
"21/06/2019",6,"Cerises"
"24/06/2019",1,"Pastèque"
"24/06/2019",3,"Sauce bolognaise végétale"
"24/06/2019",3,"Pâtes semi-complètes bio"
"24/06/2019",5,"Gruyère râpé"
"24/06/2019",6,"Crème dessert caramel"
"25/06/2019",1,"Gaspacho"
"25/06/2019",2,"Pilon de poulet confit"
"25/06/2019",3,"Mogettes"
"25/06/2019",6,"Yaourt vanille BBC°"
"26/06/2019",1,"Radis bio"
"26/06/2019",2,"Rôti de dinde au jus"
"26/06/2019",3,"Frites"
"26/06/2019",6,"Petit suisses aromatisés"
"27/06/2019",1,"Rillette de thon individuel"
"27/06/2019",2,"Sauté de porc BBC°"
"27/06/2019",3,"Haricots verts/haricots beurre"
"27/06/2019",5,"Carré bio°"
"27/06/2019",6,"Tarte grillée aux abricots"
"28/06/2019",1,"Salade de blé bio, tomates et concombres"
"28/06/2019",2,"Poisson meunière"
"28/06/2019",3,"Brocolis"
"28/06/2019",5,"Camembert"
"28/06/2019",6,"Cerises"
"01/07/2019",1,"Pizza au fromage"
"01/07/2019",2,"Emincé de volaille sauce Normande"
"01/07/2019",3,"Poêlée de légumes (carottes, haricots verts, pdt, brocolis)"
"01/07/2019",5,"Saint-Paulin "
"01/07/2019",6,"Compote de pommes / biscuit"
"02/07/2019",1,"Melon"
"02/07/2019",2,"Rôti de porc"
"02/07/2019",3,"Ratatouille/ ble bio  maison"
"02/07/2019",6,"Yaourt aux fruits mixés"
"03/07/2019",1,"Salade de pâtes Napoli"
"03/07/2019",2,"Emincé de boeuf* thaï"
"03/07/2019",3,"Gratin de choux fleurs"
"03/07/2019",5,"Mimolette"
"03/07/2019",6,"Fruit de saison"
"04/07/2019",1,"Radis"
"04/07/2019",2,"Dhal de lentilles bio°"
"04/07/2019",3,"Riz basmati"
"04/07/2019",6,"Creme dessert chocolat"
"05/07/2019",2,"Burger de thon"
"05/07/2019",3,"Salade verte"
"05/07/2019",3,"Chips "
"05/07/2019",6,"Yaourt nature sans sucre"
"05/07/2019",8,"Biscuit moëlleux bio"
"08/07/2019",1,"Pastèque"
"08/07/2019",2,"Tortilla aux pommes de terre"
"08/07/2019",3,"Salade verte"
"08/07/2019",5,"Fromage Chanteneige"
"08/07/2019",6,"Crème dessert lait et chocolat"
"09/07/2019",1,"Concombres"
"09/07/2019",2,"Falafels bio aux pois chiches et patate douce sauce tomate"
"09/07/2019",2,"sauce tomate "
"09/07/2019",3,"Riz basmati"
"09/07/2019",6,"Yaourt au citron BBC°"
"10/07/2019",1,"Carottes râpées bio"
"10/07/2019",2,"Rôti de boeuf*"
"10/07/2019",3,"Frites"
"10/07/2019",6,"Fromage blanc / Coulis"
"11/07/2019",1,"Taboulé"
"11/07/2019",2,"Petits panés de volaille*"
"11/07/2019",3,"Petits pois maraîcher"
"11/07/2019",5,"Camembert"
"11/07/2019",6,"Fruit de saison"
"12/07/2019",1,"Salade de tomates"
"12/07/2019",2,"Poisson sauce crème"
"12/07/2019",3,"Epinards à la crème"
"12/07/2019",5,"Tomme noire"
"12/07/2019",6,"Ananas"
"15/07/2019",1,"Pizza au fromage"
"15/07/2019",2,"Sauté de dinde"
"15/07/2019",3,"Haricots verts/haricots beurre"
"15/07/2019",5,"Mimolette"
"15/07/2019",6,"Fruit de saison"
"16/07/2019",1,"Salade de lentilles bio (lentilles bio, concombres, tomates)"
"16/07/2019",2,"Poisson meunière"
"16/07/2019",3,"Courgettes à la tomate"
"16/07/2019",5,"Emmental"
"16/07/2019",6,"Fruit de saison"
"17/07/2019",1,"Radis bio"
"17/07/2019",2,"Rôti de porc"
"17/07/2019",3,"Brocolis"
"17/07/2019",5,"Saint-Paulin "
"17/07/2019",6,"Eclair au chocolat"
"18/07/2019",1,"Melon"
"18/07/2019",2,"Blanquette de veau*"
"18/07/2019",3,"Riz basmati"
"18/07/2019",6," -"
"18/07/2019",6,"Île flottante"
"19/07/2019",1,"Salade verte aux graines de tournesol"
"19/07/2019",2,"Galette de soja  tomate / basilic et sauce tomate"
"19/07/2019",3,"Semoule bio"
"19/07/2019",6,"Yaourt aux fruits mixés"
"22/07/2019",1,"Pastèque"
"22/07/2019",2,"Poulet fermier (terre assiette*6)"
"22/07/2019",3,"Ratatouille"
"22/07/2019",6,"Fondant au chocolat"
"22/07/2019",8,"Lait bio"
"23/07/2019",1,"Roulé au fromage"
"23/07/2019",2,"Emincé de boeuf* thaï"
"23/07/2019",3,"Carottes au cumin"
"23/07/2019",5,"Chèvre"
"23/07/2019",6,"Fruit de saison"
"24/07/2019",1,"Concombres sauce crème"
"24/07/2019",2,"Parmentier de poisson"
"24/07/2019",3,"Salade verte"
"24/07/2019",6,"Flan caramel"
"25/07/2019",1,"Salade de tomates"
"25/07/2019",2,"Omelette bio"
"25/07/2019",3,"Céréales gourmandes bio"
"25/07/2019",6,"Yaourt aromatisé"
"26/07/2019",1,"Betteraves"
"26/07/2019",2,"Poisson sauce crème"
"26/07/2019",3,"Riz basmati"
"26/07/2019",5,"Cantal"
"26/07/2019",6,"Fruit de saison"
"29/07/2019",1,"Melon"
"29/07/2019",3,"Sauce bolognaise végétale"
"29/07/2019",3,"Semoule bio"
"29/07/2019",6,"Petits suisses aromatisés"
"30/07/2019",1,"Roulé au fromage "
"30/07/2019",2,"Rôti de dinde jus d'épices"
"30/07/2019",3,"Marmelade de pomme"
"30/07/2019",5,"Saint-Nectaire"
"30/07/2019",6,"Fruit de saison"
"31/07/2019",1,"Salade verte aux dés de gruyère"
"31/07/2019",2,"Saucisses de porc bio"
"31/07/2019",3,"Mogettes"
"31/07/2019",6,"Cocktail de fruits au sirop"
"01/08/2019",1,"Radis bio"
"01/08/2019",2,"Sauté de boeuf *°"
"01/08/2019",3,"Galettes de légumes"
"01/08/2019",6,"Riz au lait bio "
"02/08/2019",1,"Salade de perles et tomates"
"02/08/2019",2,"Poisson sauce crème"
"02/08/2019",3,"Haricots verts/haricots beurre"
"02/08/2019",5,"Gouda"
"02/08/2019",6,"Fruit de saison"
"05/08/2019",1,"Pastèque"
"05/08/2019",2,"Tortilla aux pommes de terre"
"05/08/2019",3,"Salade verte"
"05/08/2019",5,"Fromage Chanteneige"
"05/08/2019",6,"Crème dessert lait et chocolat"
"06/08/2019",1,"Concombres"
"06/08/2019",2,"Falafels bio aux pois chiches et patate douce sauce tomate"
"06/08/2019",2,"sauce tomate "
"06/08/2019",3,"Céréales gourmandes bio"
"06/08/2019",6,"Yaourt au citron BBC°"
"07/08/2019",1,"Carottes râpées bio"
"07/08/2019",2,"Rôti de boeuf*"
"07/08/2019",3,"Frites"
"07/08/2019",6,"Fromage blanc / Coulis"
"08/08/2019",1,"Taboulé"
"08/08/2019",2,"Petits panés de volaille*"
"08/08/2019",3,"Petits pois maraîcher"
"08/08/2019",5,"Camembert"
"08/08/2019",6,"Fruit de saison"
"09/08/2019",1,"Salade de tomates"
"09/08/2019",2,"Poisson sauce crème"
"09/08/2019",3,"Epinards à la crème"
"09/08/2019",5,"Tomme noire"
"09/08/2019",6,"Tarte aux pommes"
"12/08/2019",1,"Pizza"
"12/08/2019",2,"Sauté de dinde"
"12/08/2019",3,"Haricots verts/haricots beurre"
"12/08/2019",5,"Mimolette"
"12/08/2019",6,"Fruit de saison"
"13/08/2019",1,"Salade de lentilles bio (lentilles bio, concombres, tomates)"
"13/08/2019",2,"Poisson meunière"
"13/08/2019",3,"Courgettes à la tomate"
"13/08/2019",5,"Emmental"
"13/08/2019",6,"Fruit de saison"
"14/08/2019",1,"Melon"
"14/08/2019",2,"Timbale de pätes bio au tofu fumé bio"
"14/08/2019",6," -"
"14/08/2019",6,"Île flottante"
"19/08/2019",1,"Pastèque"
"19/08/2019",2,"Pilon de poulet confit"
"19/08/2019",3,"Ratatouille ""maison"""
"19/08/2019",6,"Fondant au chocolat"
"19/08/2019",8,"Lait bio"
"20/08/2019",1,"Tarte au fromage "
"20/08/2019",2,"Emincé de boeuf* thaï"
"20/08/2019",3,"Carottes au cumin"
"20/08/2019",5,"Chèvre"
"20/08/2019",6,"Fruit de saison"
"21/08/2019",1,"Concombres sauce crème"
"21/08/2019",2,"Parmentier de poisson"
"21/08/2019",3,"Salade verte"
"21/08/2019",6,"Flan caramel"
"22/08/2019",1,"Salade de tomates"
"22/08/2019",2,"Omelette bio"
"22/08/2019",3,"Céréales gourmandes bio"
"22/08/2019",6,"Yaourt aromatisé"
"23/08/2019",1,"Dés de betteraves"
"23/08/2019",2,"Poisson"
"23/08/2019",3,"Riz / sarrasin"
"23/08/2019",5,"Cantal"
"23/08/2019",6,"Fruit de saison"
"26/08/2019",1,"Melon"
"26/08/2019",3,"Sauce bolognaise végétale"
"26/08/2019",3,"Pâtes bio et gruyère râpé"
"26/08/2019",5,"Gruyère râpé"
"26/08/2019",6,"Petits suisses aromatisés"
"27/08/2019",1,"Roulé au fromage"
"27/08/2019",2,"Rôti de dinde jus d'épices"
"27/08/2019",3,"Poêlée de légumes"
"27/08/2019",5,"Saint-Nectaire"
"27/08/2019",6,"Fruit de saison"
"28/08/2019",1,"Salade verte aux dés de gruyère"
"28/08/2019",2,"Saucisses de porc bio"
"28/08/2019",3,"Mogettes"
"28/08/2019",6,"Cocktail de fruits au sirop"
"29/08/2019",1,"Radis bio"
"29/08/2019",2,"Boulettes de boeuf sauce tomate"
"29/08/2019",3,"Haricots verts/haricots beurre"
"29/08/2019",5,"Tomme blanche"
"29/08/2019",6," -"
"29/08/2019",6,"Tarte aux pommes"
"30/08/2019",1,"Crêpe tomate / mozzarella bio"
"30/08/2019",2,"Poisson sauce crème"
"30/08/2019",3,"Carottes à l'indienne"
"30/08/2019",5,"Gouda"
"30/08/2019",6," -"
"30/08/2019",6,"Fruit de saison"
"02/09/2019",1,"Melon"
"02/09/2019",2,"Lasagnes végétales"
"02/09/2019",3,"Salade verte"
"02/09/2019",6,"Yaourt vanille BBC°"
"03/09/2019",1,"Concombres"
"03/09/2019",2,"Pilon de poulet confit"
"03/09/2019",3,"Lentilles bio"
"03/09/2019",5,"Fromage carre frais pRESIDENT 17.5 gr "
"03/09/2019",6,"Raisin"
"04/09/2019",1,"Radis bio"
"04/09/2019",2,"Sauté de porc BBC° sauce aigre douce"
"04/09/2019",3,"Riz"
"04/09/2019",6,"Yaourt aux fruits mixés"
"05/09/2019",1,"Tarte au fromage "
"05/09/2019",2,"Rôti de boeuf*"
"05/09/2019",3,"Haricots verts/haricots beurre"
"05/09/2019",5,"Tomme noire"
"05/09/2019",6,"Prunes Reine-Claude"
"06/09/2019",1,"Choux rouges bio°"
"06/09/2019",2,"Poisson meunière"
"06/09/2019",3,"Epinards à la crème"
"06/09/2019",5,"Carré bio°"
"06/09/2019",6,"Eclair au chocolat"
"09/09/2019",1,"Salade de pâtes Napoli"
"09/09/2019",2,"Petits panés de volaille*"
"09/09/2019",3,"Poêlée de légumes (carottes, haricots verts, pdt, brocolis)"
"09/09/2019",5,"Cantal"
"09/09/2019",6,"Pomme bio°"
"10/09/2019",1,"Pastèque"
"10/09/2019",2,"Emincé de boeuf* thaï"
"10/09/2019",3,"Riz basmati"
"10/09/2019",6,"Fromage blanc bbc et miel"
"11/09/2019",1,"Pizza au fromage"
"11/09/2019",2,"Rôti de dinde"
"11/09/2019",3,"Purée de potimarron bio°"
"11/09/2019",5,"Saint-Paulin "
"11/09/2019",6,"Poire"
"12/09/2019",1,"Gaspacho / croûtons"
"12/09/2019",2,"Tortilla aux pommes de terre"
"12/09/2019",3,"Salade verte"
"12/09/2019",5,"Fromage Chanteneige"
"12/09/2019",6,"Banane"
"13/09/2019",1,"Radis bio"
"13/09/2019",2,"Poisson"
"13/09/2019",3,"Pommes vapeur cube bio dÉs (rÉpartie)"
"13/09/2019",6,"Yaourt aromatisé"
"16/09/2019",1,"Melon"
"16/09/2019",2,"Hachis Parmentier*"
"16/09/2019",3,"Salade verte"
"16/09/2019",6," -"
"16/09/2019",6,"Île flottante"
"17/09/2019",1,"Betteraves aux dés de gruyère"
"17/09/2019",2,"Falafels bio aux pois chiches et patate douce sauce tomate"
"17/09/2019",2,"sauce tomate "
"17/09/2019",3,"Riz basmati"
"17/09/2019",6,"Raisin"
"18/09/2019",1,"Choux blancs bio°"
"18/09/2019",2,"Sauté de veau° marengo "
"18/09/2019",3,"Semoule de couscous aux épices"
"18/09/2019",5,"Morbier"
"18/09/2019",6,"Prunes"
"19/09/2019",1,"Mâche aux graines de tournesol bio"
"19/09/2019",2,"Poulet fermier d'Ancenis"
"19/09/2019",3,"Carottes bio°"
"19/09/2019",6,"Biscuit petit beurre"
"19/09/2019",6,"Crème dessert chocolat bio°"
"20/09/2019",1,"Concombres"
"20/09/2019",2,"Poisson pané"
"20/09/2019",3,"Ratatouille"
"20/09/2019",5,"Camembert"
"20/09/2019",6,"Tarte au citron"
"23/09/2019",1,"Pizza au fromage"
"23/09/2019",2,"Paupiette de volaille forestiere"
"23/09/2019",3,"Purée de courge ""maison"""
"23/09/2019",5,"Cantal"
"23/09/2019",6,"Pomme bio°"
"24/09/2019",2,"Menu depannage"
"25/09/2019",1,"Melon"
"25/09/2019",2,"Escalope de dinde"
"25/09/2019",3,"Petits pois maraîcher"
"25/09/2019",5,"Fromage carre frais pRESIDENT 17.5 gr "
"25/09/2019",6,"Beignet au chocolat"
"26/09/2019",1,"Choux rouges bio°"
"26/09/2019",2,"Sauté de boeuf* fermier"
"26/09/2019",3,"Pommes rissolées"
"26/09/2019",6,"Flan caramel"
"27/09/2019",1,"Carottes râpées bio"
"27/09/2019",2,"Timbale de pätes bio au tofu fumé bio"
"27/09/2019",6,"Yaourt au citron BBC°"
"30/09/2019",1,"Radis bio"
"30/09/2019",2,"Viande de volaille Kebab"
"30/09/2019",3,"Haricots verts/haricots beurre"
"30/09/2019",6,"Gateau au fromage blanc BBC°"
"01/10/2019",1,"Concombres"
"01/10/2019",2,"Omelette bio"
"01/10/2019",3,"Ratatouille/ ble bio  maison"
"01/10/2019",6,"Yaourt fermier bio°"
"02/10/2019",1,"Oeufs durs à la mayonnaise"
"02/10/2019",2,"Parmentier de poisson"
"02/10/2019",3,"Salade verte"
"02/10/2019",6,"Crème dessert vanille"
"03/10/2019",1,"Crêpe tomate / mozzarella bio"
"03/10/2019",2,"Blanquette de veau bio°"
"03/10/2019",3,"Galettes de légumes"
"03/10/2019",5,"Tomme blanche"
"03/10/2019",6,"Raisin"
"04/10/2019",1,"Betteraves"
"04/10/2019",2,"Lieu sauce du Perray"
"04/10/2019",3,"Riz basmati"
"04/10/2019",5,"Emmental"
"04/10/2019",6,"Poire"
"07/10/2019",1,"Salade verte  + graine de tournesol"
"07/10/2019",2,"Dhal de lentilles bio°"
"07/10/2019",3,"Céréales gourmandes bio"
"07/10/2019",6,"Petit suisses aromatisés"
"08/10/2019",1,"Choux blancs bio à la mimolette"
"08/10/2019",2,"Haché de poulet*"
"08/10/2019",3,"Frites"
"08/10/2019",6,"Pomme bio°"
"08/10/2019",8,"Ketchup"
"09/10/2019",1,"Carottes râpées bio"
"09/10/2019",2,"Rôti de porc"
"09/10/2019",3,"Mogettes"
"09/10/2019",5,"Saint-Nectaire"
"09/10/2019",6," -"
"09/10/2019",6,"Île flottante"
"10/10/2019",1,"Demi-pamplemousse"
"10/10/2019",2,"Emincé de boeuf* thaï"
"10/10/2019",3,"Poêlée de légumes"
"10/10/2019",6,"Tarte grillée aux abricots"
"10/10/2019",8,"Lait bio"
"11/10/2019",1,"Salade de pdt bio (tomates+concombres)"
"11/10/2019",2,"Poisson pané"
"11/10/2019",3,"Epinards à la crème"
"11/10/2019",5,"Tomme noire"
"11/10/2019",6,"Banane"
"14/10/2019",1,"Salade (lentilles bio+raisin+ carottes)"
"14/10/2019",2,"Saucisses de porc bio"
"14/10/2019",3,"Marmelade de pommes"
"14/10/2019",5,"Carré bio°"
"14/10/2019",6,"Poire"
"15/10/2019",1,"Radis bio"
"15/10/2019",2,"Hachis Parmentier*"
"15/10/2019",3,"Salade verte"
"15/10/2019",6,"Fromage blanc BBC°"
"16/10/2019",1,"Crêpe au fromage"
"16/10/2019",2,"Sauté de boeuf* fermier"
"16/10/2019",3,"Salsifis"
"16/10/2019",5,"Edam"
"16/10/2019",6,"Clémentines"
"17/10/2019",1,"Batonnets de concombres sauce crème"
"17/10/2019",2,"Omelette bio"
"17/10/2019",3,"Carottes bio°"
"17/10/2019",6,"Fondant au chocolat"
"17/10/2019",8,"Lait bio"
"18/10/2019",1,"Mâche au chèvre"
"18/10/2019",2,"Poisson meunière"
"18/10/2019",3,"Riz / sarrasin"
"18/10/2019",6,"Raisin"
"21/10/2019",1,"Pamplemousse"
"21/10/2019",2,"Pâtes bio à la bolognaise au gruyère râpé"
"21/10/2019",6,"Fromage blanc / Coulis"
"22/10/2019",1,"Endives / demi oeuf bio°"
"22/10/2019",2,"Chili de légumes sans tofu"
"22/10/2019",6,"Yaourt aromatisé"
"23/10/2019",1,"Choux rouges bio°"
"23/10/2019",2,"Sauté de veau au citron"
"23/10/2019",3,"Semoule"
"23/10/2019",6,"Crème dessert chocolat bio°"
"24/10/2019",1,"Pizza au fromage"
"24/10/2019",2,"Rôti de dinde"
"24/10/2019",3,"Petits pois maraîcher"
"24/10/2019",5,"Camembert"
"24/10/2019",6,"Pomme bio°"
"25/10/2019",1,"Carottes râpées bio"
"25/10/2019",2,"Poisson pané"
"25/10/2019",3,"Purée de brocolis"
"25/10/2019",5,"Saint-Paulin "
"25/10/2019",6,"Tarte au citron"
"28/10/2019",1,"Tarte au fromage "
"28/10/2019",2,"Poulet fermier (terre assiette*6)"
"28/10/2019",3,"Ratatouille ""maison"""
"28/10/2019",5,"Chèvre"
"28/10/2019",6,"Clémentines"
"29/10/2019",1,"Salade (p d t bio+tomates+poivrons)@"
"29/10/2019",2,"Poisson pané"
"29/10/2019",3,"Epinards à la crème"
"29/10/2019",5,"Tomme noire"
"29/10/2019",6,"Poire"
"30/10/2019",1,"Salade verte aux noix"
"30/10/2019",2,"Saucisses de porc bio"
"30/10/2019",3,"Lentilles bio"
"30/10/2019",6,"Eclair au chocolat"
"30/10/2019",8,"Lait bio"
"31/10/2019",1,"Concombre sauce ciboulette"
"31/10/2019",2,"Rôti de boeuf*"
"31/10/2019",3,"Frites"
"31/10/2019",6,"Petit suisses aromatisés"
"04/11/2019",1,"Betteraves"
"04/11/2019",2,"Omelette bio"
"04/11/2019",3,"Poêlée de légumes (carottes, haricots verts, pdt, brocolis)"
"04/11/2019",6,"Gâteau marbré au chocolat"
"04/11/2019",8,"Lait bio"
"05/11/2019",1,"Carottes râpées bio"
"05/11/2019",2,"Haché de poulet*"
"05/11/2019",3,"Frites"
"05/11/2019",6,"Yaourt fermier bio°"
"05/11/2019",8,"Ketchup"
"06/11/2019",1,"Choux blancs bio à la mimolette"
"06/11/2019",2,"Duo de poisson sauce citron"
"06/11/2019",3,"Céréales gourmandes bio"
"06/11/2019",6,"Compote pomme et framboise"
"07/11/2019",1,"Salade de mâche et maïs"
"07/11/2019",2,"Rôti de boeuf*"
"07/11/2019",3,"Gratin de choux fleurs"
"07/11/2019",5,"Fromage Chanteneige"
"07/11/2019",6,"Banane"
"08/11/2019",1,"Salade douceur aux noix"
"08/11/2019",2,"Filet de lieu au beurre blanc"
"08/11/2019",3,"Riz basmati"
"08/11/2019",5,"Fleur d'Anjou bio°"
"08/11/2019",6,"Poire"
"12/11/2019",1,"Demi-pamplemousse"
"12/11/2019",2,"Tarte végétale aux lentilles"
"12/11/2019",3,"Salade verte"
"12/11/2019",6,"Yaourt au citron BBC°"
"13/11/2019",1,"Betteraves aux dés de gruyère"
"13/11/2019",2,"Jambon fumé"
"13/11/2019",3,"Mogettes"
"13/11/2019",6,"Orange"
"14/11/2019",1,"Endives aux raisins sauce crème"
"14/11/2019",2,"Emincé de boeuf* sauce moutarde"
"14/11/2019",3,"Galettes de légumes"
"14/11/2019",5,"Tomme noire"
"14/11/2019",6,"Gateau au fromage blanc BBC°"
"15/11/2019",1,"Salade de pomme de terre, avec tomates et poivrons"
"15/11/2019",2,"Poisson pané"
"15/11/2019",3,"Epinards à la crème"
"15/11/2019",5,"Gouda"
"15/11/2019",6,"Clémentines"
"18/11/2019",1,"Terrine de tomate et  basilic"
"18/11/2019",2,"Poisson meunière"
"18/11/2019",3,"Purée de courge ""maison"""
"18/11/2019",5,"Cantal"
"18/11/2019",6,"Pomme bio°"
"19/11/2019",1,"Potage de légumes"
"19/11/2019",2,"Saute de veau"
"19/11/2019",3,"Poêlée de légumes"
"19/11/2019",5,"Saint-Paulin "
"19/11/2019",6,"Banane"
"20/11/2019",1,"Tarte au fromage "
"20/11/2019",2,"Pilon de poulet confit"
