date_de_debut;date_de_fin;motif;organisations_syndicales;metiers_cibles;population;nombre_grevistes;taux_grevistes
2009-03-18;2009-03-20;Développement du service public ferroviaire SNCF, unicité de l'entreprise, arrêt transfert charges vers les filiales, politique de l'emploi, négociations salariales, pouvoir d'achat des pensions.;"CGT;UNSA;SUD;CFDT;FO;CFTC;CFE-CGC;FGAAC";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";124859.0;46001.0;36.8
2009-04-24;2009-04-25;Baisse mobilité des agentss de l'EVEN;"CGT;SUD";service électrique ferroviaire;56.0;9.0;16.1
2009-11-30;2009-12-02;Emploi, rémunération, externalisation des charges et annexes d'apprentissage.;SUD;"agent de manoeuvre;logistique;ingénierie et maintenance du matériel roulant;régulation et circulation ferroviaire;infrastructure";19659.0;1941.0;9.9
2009-12-11;2009-12-14;Consolidation préavis NAT 14014;CFDT;"conducteur;agent de manoeuvre;conducteur";4307.0;340.0;7.9
2010-03-09;;Notations 2010;CFDT;conducteur;1838.0;2.0;0.1
2010-04-01;2010-04-02;Abandon d'ULYSSE , ré-internalisation des missions , sous-traitance , véritable politique de l'emploi informatique , avenir de la filière , politique d'achats efficiente , respect des droits syndicaux et des IRP.;"CGT;UNSA;SUD;CFDT";agent de manoeuvre;2031.0;1199.0;59.0
2010-04-06;;Arrêt des restructurations et des réorganisations, entraînant des dysfonctionnements de plus en plus importants pour tous les métiers.;"CGT;SUD";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";49629.0;3498.0;7.0
2010-04-07;;Pour l'ensemble des agents : conditions de travail, arrêt du transfert d'activité vers les filiales, des établissements monoactivités, respect des périmètres métiers et du dictionnaire des filières , Agents de la filière commerciale voyageurs gare : revalorisation prime de travail, pénibilité, management , EIC : organisation de la production, revalorisation prime de travail, temps de passage des consignes à hauteur de 20 mn.;CGT;"agent de manoeuvre;accueil en gare et vente;régulation et circulation ferroviaire";11540.0;460.0;4.0
2010-04-07;2010-04-09;Emploi, formation, politique nationale RH rigoureuse de pilotage, développement de la médecine intégrée par des centres de santé de proximité, infirmières, personnel de l'action sociale, abandon du projet de restructuration territoriale de la SUGE, revalorisation de la prime de travail.;CGT;"agent de manoeuvre;sûreté ferroviaire";25856.0;1139.0;4.4
2010-07-03;;Conséquences des adaptations lors du prochain changement de service d'été : EVS, rémunération, port de la tenue, tutorat agents en alternance, E.A.S. et Sirius.;CFDT;conducteur;1721.0;39.0;2.3
2010-12-24;2011-01-03;Mise en place sans concertation de multi-lots/multi-clients, répartition équitable de la charge, niveau de rémunération équivalent à tous les agent de conduite victimes d'une baisse de charge.;SUD;"conducteur;conducteur;agent de manoeuvre;accueil en gare et vente;logistique;régulation et circulation ferroviaire";179.0;2.0;1.1
2011-02-09;2011-02-11;Services Communs : emploi, revalorisation de la prime de travail, réorganisations, santé des agents, reconnaissance de la technicité et de la qualification des métiers.;"CGT;UNSA;SUD;CFDT";"agent de manoeuvre;sûreté ferroviaire";13274.0;901.0;6.8
2011-11-20;2011-12-06;Sureté , Equipement des Trains , EAS , Emploi;SUD;"chef de bord;chef de bord";5318.0;273.0;5.1
2012-04-01;2012-04-03;Informatique : Moratoire sur les réorganisations en cours (centres de services , DSI-T , ASTI d’IDF), la transparence des coûts, les conséquences sur l’emploi, respect de la législation de passation des marchés publics.;"CGT;UNSA;SUD;CFDT";agent de manoeuvre;2783.0;527.0;18.9
2012-10-24;2012-10-26;INFORMATIQUE : moratoire sur les centres de services, arrêt du recours à la sous-traitance, ré internalisation de missions perennes par des emplois au statut, non recours à l'offshore, maintien des DSI et ASTI au sein de l'EPIC, moratoire sur les projets de réorganisation, expertise sur les coûts;"CGT;UNSA;SUD;CFDT";agent de manoeuvre;14547.0;1419.0;9.8
2013-03-04;2013-03-06;Respect des IRP, Elargissement du calendrier de consultation des instances, Respect des prérogatives de chaque CE en matière de restauration, d'espaces culturels, sportifs et associatifs, Garanties d'accès des cheminots et retraités à toutes les installations gérées par le CE.;CGT;agent de manoeuvre;3651.0;202.0;5.5
2013-04-08;2013-04-10;Mobilisation contre l'ANI;CGT;"conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";130435.0;12264.0;9.4
2013-04-29;2013-05-01;Arrêt immédiat de la visite d’aptitude sécurité sous sa forme actuelle pour tous les agents autres que conducteurs, une médecine qui ne soit pas une médecine de contrôle social, la vérification des résultats de l’aptitude physique sous la surveillance d’une autorité indépendante en capacité de répondre également à l’ensemble des recours, la suppression du volet psychique de toute procédure, autre que celle de l’embauche, la mise en place de réunions placées sous la responsabilité du DRH national en présence de médecins du travail, le maintien de la médecine du travail qui est et doit rester une médecine de prévention au service des agents;SUD;"conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";110151.0;1104.0;1.0
