date_de_debut;date_de_fin;motif;organisations_syndicales;metiers_cibles;population;nombre_grevistes;taux_grevistes
2008-11-23;;Arrêt immédiat de la modification de la réglementation du travail (RH0077), arrêt immédiat du processus d'éclatement de l'entreprise;SUD;"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";46547.0;1313.0;2.8
2008-11-24;;organisation de la production, conditions de travail, unicité des métiers, reconnaissance des contraintes au métier de roulant;"SUD;FO";"agent de manoeuvre;chef de bord";3448.0;360.0;10.4
2009-02-20;2009-02-20;Effectifs groupe d'astreinte;SUD;infrastructure;1548.0;31.0;2.0
2009-02-27;2009-02-27;Effectifs groupe d'astreinte;SUD;infrastructure;1234.0;32.0;2.6
2009-03-20;2009-03-20;Effectifs groupes d'astreinte, PAS;SUD;infrastructure;195.0;17.0;8.7
2009-04-17;2009-04-17;Effectifs, groupes d'astreinte, PAS;SUD;infrastructure;56.0;5.0;8.9
2009-04-24;2009-04-24;Effectifs, groupes d'astreinte, PAS;SUD;infrastructure;174.0;12.0;6.9
2009-07-06;2009-07-08;Emploi, mobilité, hébergement, restructurations, NS9, prime de travail;"CGT;SUD;CFDT;FO";"agent de manoeuvre;infrastructure";14245.0;1080.0;7.6
2009-12-12;;Roulements, comportement des Directions, séparation et externalisation des CPST;SUD;chef de bord;690.0;39.0;5.7
2010-03-11;2010-03-11;Mise sous tutelle des horairistes , dépossession de la maîtrise de la production horaire , remise en cause des compétences par RFF , incertitude quant à l'avenir du métier , retrait du projet CDS-BH.;SUD;"agent de manoeuvre;régulation et circulation ferroviaire";319.0;113.0;35.4
2010-04-06;;Organisation de la production, emploi, amélioration des conditions de travail.;CGT;"conducteur;agent de manoeuvre;conducteur";5313.0;1155.0;21.7
2010-04-06;;Retrait des 5 projets d'établissements multi-métiers, réelle mixité sur la dédicace des roulements SNCF Voyages, emploi, indemnité de modification de commande, management, notations.;CGT;"agent de manoeuvre;chef de bord;chef de bord";3897.0;946.0;24.3
2010-04-07;2010-04-09;Emploi, rémunération, externalisations des charges.;CGT;"agent de manoeuvre;logistique;ingénierie et maintenance du matériel roulant";24658.0;3610.0;14.6
2010-09-06;2010-09-08;Retraite, une véritable politique de l'emploi, fret, salaires et pensions, situation des cheminots ex-apprentis ou élèves.;"CGT;UNSA;SUD;CFDT";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";121895.0;52782.0;43.3
2010-12-12;;Conséquences des adaptations lors du prochain changement de service.;CFDT;"conducteur;conducteur";2056.0;67.0;3.3
2011-04-12;2011-04-13;Abandon du projet ORC et de la colocalisation des horairistes à la SNCF à RFF, remise à plat du pilotage de la production horaire, effectifs à la DPS mais aussi dans les BHR, outils de production performants (TPS Disco) permettant une amélioration des échanges demande sillon/réponse RFF.;"CGT;UNSA;SUD";"agent de manoeuvre;régulation et circulation ferroviaire";358.0;142.0;39.7
2012-04-03;2012-04-05;FRET : réouvertures de gares , retour au tri à la gravité dans certains triages , relance démarche commerciale ambitieuse , politique wagon isolé , multi activité , conditions de vie et de travail , respect des textes réglementaires et des IRP.;CGT;"conducteur;conducteur;agent de manoeuvre;accueil en gare et vente;logistique;régulation et circulation ferroviaire";8290.0;472.0;5.7
2012-04-17;2012-04-18;Projet de privatisation du centre essieux de Montigny lès Metz , projet de fermeture de l'UO maintenance Voitures et de délocalisation du technicentre de Rennes , pénibilité;SUD;"agent de manoeuvre;logistique;ingénierie et maintenance du matériel roulant";19815.0;3524.0;17.8
2012-06-07;2012-06-08;Moratoire sur restructurations, négociations sur organisation du travail notamment les week-ends, arrêt des mobilités forcées, embauches au statut du cadre permanent, formations métiers de qualité, révision du S9, astreinte, RH 0077, arrêt de la sous-traitance, prime de travail, arrêt de l'abrogation de l'IN 2974.I;"CGT;SUD";"agent de manoeuvre;ingénierie et maintenance du matériel roulant;infrastructure";31596.0;3093.0;9.8
2012-10-24;2012-10-26;Salaires, emploi, réforme du système ferroviaire, DCF, ASPARTAM, PALITO, Foyer de Montparnasse;"CGT;UNSA;SUD;CFDT";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";131097.0;29482.0;22.5
2012-11-14;2012-11-15;La poursuite des négociations salariales ? recrutement de 1 600 cheminots supplémentaires à statut ? La requalification des CDD et CDI au cadre permanent ? L’arrêt des restructurations et développement du Fret SNCF , ? Un système ferroviaire réunifié, désendetté? DCF, l’axe Palito, Aspartam et le Foyer de Montparnasse ? changement de service 2013 , ? Le maintient des prestations familiales à la SNCF;CGT;"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";121100.0;3877.0;3.2
2012-12-08;;Le changement de service 2013;CFDT;"conducteur;agent de manoeuvre;conducteur;régulation et circulation ferroviaire";7218.0;143.0;2.0
2013-01-30;2013-02-01;la réforme ferroviaire maintenant l'intégrité de l'EPIC SNCF et faisant de nos RH 77 et 677 la base minimum d'une convention collective du rail en France, le budget 2013, l'emploi, le FRET, les conditions de travail;CGT;"conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";19319.0;1298.0;6.7
2013-03-04;2013-03-06;Accord National Interprofessionnel, réforme, salaire, emploi;"CGT;SUD";"conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";42692.0;5405.0;12.7
2013-03-25;2013-03-27;Baisse des effectifs, L'emploi, Augmentation de l'intérim, Augmentation des embauches à l'annexe C du RH 0254, Dégradation des conditions de travail, fermetures programmées de l'UO Voitures de Rennes, des ateliers du Mans et du centre essieux de Montigny-Lès-Metz.;CGT;"agent de manoeuvre;logistique;ingénierie et maintenance du matériel roulant";19768.0;1849.0;9.4
2013-04-09;2013-04-10;L'emploi, Le déroulement de carrière, les indemnités de port d'armes et les conditions de travail.;CGT;"agent de manoeuvre;sûreté ferroviaire";11177.0;576.0;5.2
2013-09-09;2013-09-11;Emploi, salaires, retraite, effectifs, réforme du système ferroviaire, situaiton sociale de l'entreprise.;"CGT;SUD";"action sociale;conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";126676.0;24798.0;19.6
2013-10-08;2013-10-10;Communication des enquêtes et études suite à la catastrophe de Brétigny, Une autre prise en compte de la sûreté des agents, Le respect des dispositions statutaires et réglementaires notamment en matière de recrutements, de formation, d'application des procédures,... L'arrêt de l'utilisation abusive d'emplois précaires, de stagiaires et alternants sur des postes de cheminots,... L'emploi et les recrutements au cadre permananent avec une réévaluation, à la hausse, des effectifs de l'EPIC pour l'année 2013, Un travail sur les organisations de la production qui impactent les différents services et métiers afin de faire progresser l'efficience globale de notre entreprise publique et une meilleure mutualisation des moyens en articulant les organisations du travail autour des métiers dans le but d'avoir sur le territoire une entreprise réactive, efficace et faire en sorte que les cheminots puissent mieux travailler ensemble.;CFDT;"action sociale;conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";128637.0;15212.0;11.8
2013-10-08;2013-10-10;4ème paquet ferroviaire;"CGT;CFDT";"action sociale;conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";42891.0;5073.0;11.8
2013-10-09;2013-10-09;L'ouverture de discussions nationales sur l'instance de coordination des CHSCT, L'avenir des agences famille et CMGA, La réforme du ferroviaire et Directions Transverses, Excellence 2020, Le site de La Chapelle, Le projet Campus et l'emploi.;CGT;agent de manoeuvre;3040.0;49.0;1.6
2013-10-15;2013-10-17;Projet de la loi sur la Réforme ferroviaire;"SUD;FO";"action sociale;conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";64224.0;2098.0;3.3
2013-12-11;2013-12-13;Réforme ferroviaire;"CGT;UNSA;SUD";"action sociale;conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";65136.0;16940.0;26.0
2013-12-15;;SA 2014;CFDT;conducteur;1359.0;62.0;4.6
2014-05-21;2014-05-23;Le projet de loi sur la réforme du ferroviaire, Remise en cause du plan d'austérité de 700 millions d'euros appliqué aux Directions Transverses qui pèse sur l'emploi, la qualité du service et les conditions de travail, Le refus de la fusion des Agences famille et CMGA, Le maintien de la gestion des PF par la SNCF et l'embauche dans l'EPIC SNCF de tous les salariés SNCF interservices mis à disposition de nos directions.;CGT;agent de manoeuvre;4970.0;325.0;6.5
2015-01-03;2015-03-11;"Mise en oeuvre de la loi du 4 août 2014; Emploi; Salaires; Pensions; Conditions de travail; Relations sociales";CGT;GPF;133033.0;14264.0;10.7
2015-03-10;2015-03-10;Emplois, salaires, pensions, conditions de travail, relations sociales;CGT;tractionnaires, conducteurs;;;
2015-04-09;2015-04-09;Manifestation contre l'austérité;CGT;tractionnaires, conducteurs;;;
2016-01-04;2016-01-04;Changement de service;CFDT;;;;2.5
2016-03-31;2016-03-31;Cadre social d'entreprise;Sud-Rail;;;;24.3
2017-03-21;;ré industrialisation du pays et le service public;CGT;;;;5.4
2017-04-17;;IMC (ADC/ASCT seulement) / Métiers (tout Mobilités);CFDT, Sud Rail;;;;4.9
2017-07-01;;Filialisations / Trankeo;Sud Rail;;;;2.3
2017-10-10;;Ordonnances Code du travail / Politique d'entreprise;CFDT;;;;4.0
2017-10-19;;Ordonnances Code du travail / Politique d'entreprise;CGT;;;;7.0
2018-04-19;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;22.7
2018-05-28;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;14.0
2018-06-12;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;17.6
2018-06-23;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;20.7
2019-12-14;;Réforme des retraites;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;27.5
2019-12-18;;Réforme des retraites;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;13.6
2019-12-23;;Réforme des retraites;CGT, SUD-Rail, CFDT, FO, UNSA;;;;9.2
2019-12-24;;Réforme des retraites;CGT, SUD-Rail, CFDT, FO, UNSA;;;;9.8
2019-12-25;;Réforme des retraites;CGT, SUD-Rail, CFDT, FO, UNSA;;;;20.6
2020-01-03;;Réforme des retraites;CGT, SUD-Rail, CFDT, FO, UNSA;;;;6.2
2020-01-04;;Réforme des retraites;CGT, SUD-Rail, CFDT, FO, UNSA;;;;12.6
2020-01-07;;Réforme des retraites;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;6.6
2020-01-16;;Réforme des retraites;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;10.1
2020-01-17;;Réforme des retraites;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;4.6
2020-01-24;;Réforme des retraites;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;13.9
2020-02-13;;Réforme des retraites;CGT;;;;1.4
2020-02-27;;Réforme des retraites;CGT;;;;0.7
2003-01-31;2003-02-02;Manifestation interprofessionnelle pour la défense des retraites.;"CGT;SUD;CFDT;FO";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";8545.0;334.0;3.9
2003-04-02;2003-04-04;Participation aux manifestations sur les retraites : contre l'allongement de la durée de cotisation, défense des régimes spéciaux et statut, pour la répartition, contre la régression sociale;"CGT;UNSA;SUD;CFDT;FO";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";138412.0;41307.0;29.8
2003-06-02;;Retraites (37.5 ans de cotisation, régimes spéciaux, répartition, régression social).;"CGT;UNSA;SUD;CFDT;FO;CFTC";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";78966.0;20017.0;25.3
2003-06-10;;Retraites et salaires.;"CGT;CFDT;FO";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";54754.0;8336.0;15.2
2004-09-08;2004-09-10;Effectifs, conditions de travail, travail de nuit, management, formation;FO;infrastructure;9666.0;488.0;5.0
2004-11-29;;Déroulement carrière des agents de contuire des positions de rémunération 7 à 14, déroulement de carrière des agents de conduite des positions de rémunération 14 à 21, remise en adéquation du référentiel TT0035 (certification des conducteurs), arrêt des restructurations et attribution des charges de travail aux établissements.;FO;conducteur;6730.0;133.0;2.0
2004-12-06;;iDTGV;SUD;"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";28983.0;584.0;2.0
2005-01-07;2005-01-07;Suppressions d'emplois dans la filière commerciale voyageurs.;"CGT;SUD;FO;CFTC";accueil en gare et vente;6342.0;225.0;3.5
2005-01-10;2005-01-12;Conflits crées par le cadre juridique. Participation à la manifestation.;FO;"agent de manoeuvre;sûreté ferroviaire";1187.0;79.0;6.7
2005-01-14;2005-01-14;Suppressions d'emplois dans la filière commerciale voyageurs liées à la politique menée par l'entreprise;SUD;accueil en gare et vente;6085.0;190.0;3.1
2005-02-04;2005-02-04;Suppressions d'emplois de vendeurs, nouveaux espaces de vente.;SUD;accueil en gare et vente;5901.0;109.0;1.8
2005-02-09;2005-02-09;Restructuration de la filière commerciale voyageurs, suppressions de postes.;SUD;accueil en gare et vente;10252.0;56.0;0.5
2005-06-20;2005-06-22;Emploi, salaires, effectifs, casse service public, maintien droit de grève, restructurations.;"CGT;SUD";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";26741.0;932.0;3.5
2005-11-21;;Traction unique, Avenir des sites Traction, Spécialisation(EPOC), Lettre de 79, Dictionnaire des filières, Sécurité, agents de conduite affecté en ET, Management.;FGAAC;conducteur;6923.0;2983.0;43.1
2006-03-02;2006-03-02;Effectifs, Projet STORP,nNouvelle réglementation travaux, restructurations, sous-traitance, prime de travail, déroulement de carrière.;SUD;"agent de manoeuvre;infrastructure";6831.0;218.0;3.2
2006-03-06;2006-03-08;Retrait du CPE et du CNE -Egixer que la SNCF, en tant que maison mère, impose, à toutes ses filiales, une impossibilité d'utiliser un tel contrat s'il existe. -Exiger l'accès direct au statut de tous les embauchés.;"SUD;FO";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";83523.0;1955.0;2.3
2006-04-04;2006-04-05;Retrait du CPE, développement de l'emploi à statut en nombre suffisant pour améliorer la qualité du service public, embauche au cadre permanent du personnel contractuel, ouverture de réelles négociations salariales,;CGT;"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";127714.0;26023.0;20.4
2006-05-23;;Amélioration du déroulement de carrière des chefs de bord, évolution de la prime de travail des chefs de bord, principe de bonifications-retraite (1 an de roulant = 1 mois de bonification).;SUD;chef de bord;3457.0;731.0;21.1
2007-02-07;2007-02-09;Regroupement de préavis locaux et régionaux couvrant la manifestation : service public, embauches, retraite, prévoyance, salaires, carrière;"CGT;SUD";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";60169.0;4911.0;8.2
2007-06-26;2007-06-28;Fret, emploi, salaires, métiers.;"CGT;SUD;CFDT";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";15591.0;1717.0;11.0
2008-03-11;2008-03-13;Pénibilité;CGT;"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";126589.0;12456.0;9.8
2008-05-21;2008-05-23;Retraites : allongement de la durée des cotisations portée à 41 ans;FGAAC;conducteur;11953.0;3496.0;29.2
2008-06-18;2008-06-20;Embauches, régime particulier, RHOO77, accords locaux, déroulement de carrière, détachement, retrait NRT, prime de travail, pénibilité;"CGT;SUD;CFDT;FO;CFTC";"agent de manoeuvre;ingénierie et maintenance du matériel roulant;infrastructure";29016.0;2897.0;10.0
2009-02-13;2009-02-13;Effectifs groupe d'astreinte PAS;SUD;infrastructure;532.0;22.0;4.1
2009-05-25;2009-05-27;Développement du service public ferroviaire SNCF, maintien de l'intégrité et de l'unicité de la SNCF, arrêt transfert charges vers filiales, autre politique de l'emploi, négociations salariales, facilités de circulation;"CGT;UNSA;SUD;CFDT";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";131975.0;28056.0;21.3
2009-06-17;2009-06-19;Voir préavis 13442 et 13443;"CGT;SUD;CFDT";"conducteur;conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";4237.0;300.0;7.1
2009-07-06;2009-07-08;Emplois, mobilité, hébergements, conditions de vis et de travail, restructurations envisagées, S9, revalorisation prime de travail, retrait du dossier sur la restructuration de l'Infra V au CCE extra du 07/07/09;"CGT;SUD;CFDT";"agent de manoeuvre;infrastructure";28282.0;2159.0;7.6
2009-12-03;2010-01-02;Présence des ASCT sur TER , pressions managériales et sanctions arbitraires , mutations , formation linguistique , pertes d'EVS;SUD;"agent de manoeuvre;chef de bord;chef de bord";704.0;42.0;6.0
2009-12-12;;Consolidation préavis TRACTION SUD 14061;SUD;"conducteur;agent de manoeuvre;logistique;conducteur";1286.0;88.0;6.8
2010-03-22;;Réorganisations ou restructurations , effectifs et emploi , salaires , retraites , FC;SUD;"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";39167.0;6478.0;16.5
2010-03-22;;Réorganisations et restructurations , effectifs et emploi , salaires , retraites , FC.;SUD;"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";39167.0;6478.0;16.5
2010-04-06;;Conditions de vie et de travail, organisation de la production, dialogue social constructif, refus de la création et des projets d'Opérateurs Ferroviaires de Proximité, transferts de trafics, retrait des projets de filialisation.;CGT;"conducteur;conducteur;agent de manoeuvre;accueil en gare et vente;logistique;régulation et circulation ferroviaire";5860.0;687.0;11.7
2010-05-26;2010-05-27;"Abandon du projet ""ULYSSE"", ré-internalisation des missions, véritable politique de l'emploi informatique, avenir de la filière, politique d'achats efficiente, respect des droits syndicaux, des IRP et de la législation relative à la passation des marchés publics.";"CGT;UNSA;SUD;CFDT";agent de manoeuvre;1954.0;262.0;13.4
2010-06-23;2010-06-25;Reconnaissance de la pénibilité avérée des métiers du périmètre de la filière Commerciale Voyageurs Gares, notamment pour les agents des chantiers vente et télévente, politique de management agressif et culpabilisateur, progression de la prime de travail, spécialisation des établissements Exploitation sur une seule activité.;"CGT;UNSA;SUD;CFDT";accueil en gare et vente;13722.0;5524.0;40.3
2010-06-23;2010-06-25;Retraites, véritable politique de l'emploi, salaires et pensions, Consolidation National et préavis régionaux et locaux.;"CGT;UNSA;SUD;CFDT";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";123374.0;48218.0;39.1
2010-09-22;;Facilités de circulation : accès gratuit à tous les trains pour les cheminots actifs, retraités, leur famille, ainsi que pour le personnel contractuel, les salariés des CE/CCE ainsi que les salariés des entreprises privées prestataires de service pour SNCF.;SUD;"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";14446.0;2546.0;17.6
2010-09-22;2010-09-24;"Retraites, salaires, wagon isolé avec remise à plat du projet ""multi/lots multi/clients"", création des entités par produit , salaires.";"CGT;UNSA;CFDT";"conducteur;conducteur;agent de manoeuvre;accueil en gare et vente;logistique;régulation et circulation ferroviaire";9781.0;3300.0;33.7
2010-10-12;;Retraites, emploi, fret, salaires et pensions, situation des ex-apprentis et élèves.;"CGT;UNSA;SUD;CFDT";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";64964.0;10730.0;16.5
2011-10-10;2011-10-12;Avenir du service public , maintien du caractère intégré et d el'unicité de l'entreprise , emploi , salaires (réouverture des négociations salariales et rattrapage du contentieux salarial) , évolution des droits des ex-apprentis en matière de rémunération et de retraite, conditions de travail en lien avec le changement de service, effectifs, condiitons de travail, salaires, casse du fret et perte d'emplois associés.;"CGT;SUD";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";128991.0;27466.0;21.3
2012-03-30;2012-12-31;Roulement Suisse : reconnaissance de la qualification et péréquation entre l'augmentation de la vie en Suisse et les EVS afférents;SUD;"conducteur;conducteur";580.0;3.0;0.5
2012-06-14;;Prime parcours,Taux de conversion de conduite en kilomètres,Dictionnaire des filières,Titre I ou Titre II (RH 077) si plus adapté,Accès formation TA vers TB;CGT;conducteur;82.0;14.0;17.1
2013-01-30;2013-02-01;Instauration d'un moratoire sur les restructurations et un REX sur celles déjà mises en oeuvre en lien avec la production, Une politique de développement de FRET SNCF pour répondre aux besoins des chargeurs et de la nation, L'amélioration de la production en mutualisant les moyens par la multi-activité, L'arrêt des suppressions d'emplois et l'amélioration des conditions de travail, La modernisation de l'outil de production par la relance du wagon isolé et le tri à la gravité, dans les triages, le maintien des ateliers wagons, Le respect des textes réglementaires, des représentants du personnel, des instances et du dialogue social.;CGT;"conducteur;conducteur;agent de manoeuvre;accueil en gare et vente;logistique;régulation et circulation ferroviaire";7375.0;522.0;7.1
2013-03-04;2013-03-06;Le projet de 4ème paquet europpéen, L'Accord National Interprofessionnel, Les salaires, L'emploi, Le FRET, Les prestations familiales, Les allocations de déplacement, les visites d'aptitude, La sécurité et la sûreté;CGT;"conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";125287.0;16085.0;12.8
2013-03-05;2013-03-06;Conséquences de l'Accord National Interprofessionnel, Non application du RH 910 dans sa totalité dans le cadre du déménagement du Siège et des Services de Direction du pôle Saint Lazare.;FO;agent de manoeuvre;3651.0;202.0;5.5
2013-04-08;2013-04-10;Les salaires, L'emploi, le FRET, Les prestations familiales, Les allocations familiales, Les visites d'aptitude, La sécurité au travail et la sûreté;CGT;"conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";130435.0;12264.0;9.4
2013-06-12;2013-06-14;Plan d'action pour revenir à un taux maximal de sous-traitance de 30% dans les DSI, ré-internalisation des emplois pérennes par des embauches au Statut, Remise à plat du dossier centres de services et des réorganisations (DSI et ASTI), Plan d'action pour ramener les emplois de prestataires actuellement en offshore sur le territoire national, Conséquences sur les DSI et les ASTI de l'exigence de séparation des SI réaffirmée par le 4ème paquet ferroviaire, L'impact de la réduction du budget de l'informatique (conséquences humaines et industrielles), Plan d'action pour offrir des garanties et perspectives d'avenir des emplois et des métiers informatiques dans les DSI et ASTI et équité de traitement pour tous les agents.;"CGT;UNSA;SUD;CFDT";agent de manoeuvre;18936.0;2924.0;15.4
2014-05-21;2014-05-23;Manifestation du 22 mai 2014 contre la réforme ferroviaire;"CGT;UNSA;SUD;CFDT;FO";"action sociale;conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";5529.0;877.0;15.9
2014-06-10;;Réforme du système ferroviaire, une autre prise en compte sûreté et de la sécurité des voyageurs et des agents, une modification radicale de la politique menée à FRET SNCF, la rupture avec la production en monoactivité, la remise en cause du budget 2014.;CGT,SUD;"action sociale;conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";79869.0;19750.0;24.7
2015-10-07;2015-10-09;"Elections; Budget 2015; Notations; Baisse du recours à la sous-traitrance; Recrutements au Statut; Négociations sur le télétravail et le travail bi-localisé; REX sur l'expérimentation Titres -restaurants";CGT;Infrapôles et Infralogs;34996.0;4038.0;11.5
2016-12-08;;Restructurations, dérives sécurité, le paiement de l'IMC, le dialogue social et management, les charges de travail, des embauches au statut, le respect des textes en vigueurs, l'augmentation des salaires, les activités sociales et culturelles;CGT, Sud Rail;;;;1.9
2017-04-15;;IMC (ADC/ASCT seulement) / Métiers (tout Mobilités);CFDT, Sud Rail;;;;5.5
2017-04-16;;IMC (ADC/ASCT seulement) / Métiers (tout Mobilités);CFDT, Sud Rail;;;;7.5
2017-06-30;;Filialisations / Trankeo;Sud Rail;;;;1.7
2017-07-02;;Filialisations / Trankeo;Sud Rail;;;;1.7
2017-09-21;;Ordonnances Code du travail / Politique d'entreprise;CGT, SUD-Rail, FO (région), UNSA;;;;11.4
2018-05-14;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;27.6
2018-07-19;;Reforme de la SNCF;CGT;;;;3.2
2018-07-27;;Reforme de la SNCF;CGT;;;;2.6
2018-10-09;;Journée interpro du 9 octobre;CGT;;;;7.9
