Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0440717R;Ecole maternelle Emile Péhant;ECOLE MATERNELLE PUBLIQUE;EMILE PEHANT;Public;21 rue Emile Péhant;;;44000;NANTES;Nantes;355896.1;6688973.1;EPSG:2154;47.211824270546956;-1.5488305002416738;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2118242705,-1.54883050024;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440623N;Ecole primaire Grand Carcouët;ECOLE PRIMAIRE PUBLIQUE;GRAND CARCOUET;Public;1 rue Louis Brisset;;;44100;NANTES;Nantes;352601.9;6691003.3;EPSG:2154;47.22835496758597;-1.5938395954725044;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2283549676,-1.59383959547;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0442048M;Ecole maternelle La Côte d'Or;ECOLE MATERNELLE PUBLIQUE;COTE D'OR;Public;1 avenue Castellano;;;44300;NANTES;Nantes;354327.9;6693006.9;EPSG:2154;47.24726364710143;-1.5725993880822748;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2472636471,-1.57259938808;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1985-09-01
0440036A;LP Louis-Antoine de Bougainville - Lycée des métiers de l'hôtellerie- restauration - Lycée des métiers de la relation clientèle;LP LYCEE DES METIERS;DE BOUGAINVILLE;Public;2 rue EUGENE LEROUX;;;44000;NANTES;Nantes;352501.5;6687692.0;EPSG:2154;47.19854216613575;-1.592620367022577;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.1985421661,-1.59262036702;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0442412H;Ecole secondaire professionnelle privée Nantes Académie Coiffure;NANTES ACADEMIE COIFFURE;NANTES ACADEMIE COIFFURE;Privé;6  PLACE MONTAIGNE;;;44000;NANTES;Nantes;355034.5;6689988.5;EPSG:2154;47.220503214584575;-1.560969476034659;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2205032146,-1.56096947603;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2000-04-01
0442786P;Ecole primaire Cours Charlier;ECOLE PRIMAIRE PRIVEE;COURS CHARLIER;Privé;26 bis rue Des Hauts Pavés;;;44000;NANTES;Nantes;354845.0;6690329.5;EPSG:2154;47.22346948966876;-1.5637296671837198;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2234694897,-1.56372966718;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2015-01-19
0441438Z;Ecole primaire privée Sainte Claire d'Assise;ECOLE PRIMAIRE PRIVEE;STE CLAIRE D ASSISE;Privé;70 rue de la Bourgeonnière;;;44300;NANTES;Nantes;355555.8;6693659.3;EPSG:2154;47.25376579929603;-1.5568901360783372;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2537657993,-1.55689013608;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-19
0442895H;COLLEGE EXTRAORDINAIRE;ECOLE SECONDAIRE PRIVEE;;Privé;64 rue DE LA BOTTIERE;;;44300;NANTES;Nantes;358274.5;6691889.3;EPSG:2154;47.23926343728604;-1.519662562021962;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2392634373,-1.51966256202;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2019-08-31
0442715M;section d'enseignement professionnel du LPO IFOM;SECTION ENSEIGT PROFES.PRIVEE;LPO IFOM;Privé;17 boulevard DES MARTYRS NANTAIS;;;44200;NANTES;Nantes;356077.5;6687976.4;EPSG:2154;47.202960116784816;-1.5456801491580427;Correcte;Numéro de rue;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2029601168,-1.54568014916;31;CONTRAT ASSOCIATION PARTIE DES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;2011-09-01
0440641H;Ecole élémentaire Fraternité;ECOLE ELEMENTAIRE PUBLIQUE;FRATERNITE;Public;24 boulevard de la Fraternité;;;44100;NANTES;Nantes;353103.7;6689558.0;EPSG:2154;47.21562782053454;-1.5861101691678403;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2156278205,-1.58611016917;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
