"Ecole","Année scolaire","Effectif"
"CHAUVINIERE ELEMENTAIRE","2017-2018",198
"CHAUVINIERE MATERNELLE","2017-2018",98
"CHENE D'ARON ELEMENTAIRE","2017-2018",159
"CHENE D'ARON MATERNELLE","2017-2018",82
"CONTRIE ELEMENTAIRE","2017-2018",187
"CONTRIE MATERNELLE","2017-2018",119
"COTE D'OR MATERNELLE","2017-2018",69
"COUDRAY ELEMENTAIRE","2017-2018",178
"COUDRAY MATERNELLE","2017-2018",115
"DERVALLIERES CHEZINE ELEMENTAIRE","2017-2018",205
"DERVALLIERES CHEZINE MATERNELLE","2017-2018",149
"DOCTEUR TEILLAIS MATERNELLE","2017-2018",138
"EMILE PEHANT ELEMENTAIRE","2017-2018",207
"EMILE PEHANT MATERNELLE","2017-2018",142
"FELLONNEAU ELEMENTAIRE","2017-2018",162
"FELLONNEAU MATERNELLE","2017-2018",98
"FONTENY MATERNELLE","2017-2018",148
"FRANCOIS DALLET ELEMENTAIRE","2017-2018",239
"FRANCOISE DOLTO PRIMAIRE","2017-2018",254
"FRATERNITE ELEMENTAIRE","2017-2018",299
"FREDUREAU MATERNELLE","2017-2018",80
"GARENNES ELEMENTAIRE","2017-2018",161
"GASTON SERPETTE ELEMENTAIRE","2017-2018",239
"GASTON SERPETTE MATERNELLE","2017-2018",116
"GAY LUSSAC PRIMAIRE","2017-2018",240
"GEORGE SAND ELEMENTAIRE","2017-2018",218
"GEORGES BRASSENS MATERNELLE","2017-2018",115
"GEORGES LAFONT MATERNELLE","2017-2018",79
"GRAND CARCOUET PRIMAIRE","2017-2018",200
"GUSTAVE ROCH ELEMENTAIRE","2017-2018",123
"GUSTAVE ROCH MATERNELLE","2017-2018",111
"HAROUYS PRIMAIRE","2017-2018",269
"HENRI BERGSON ELEMENTAIRE","2017-2018",156
"HENRI BERGSON MATERNELLE","2017-2018",186
"JACQUES PREVERT ELEMENTAIRE","2017-2018",118
"JACQUES PREVERT MATERNELLE","2017-2018",114
"JACQUES TATI PRIMAIRE","2017-2018",300
"JEAN JAURES ELEMENTAIRE","2017-2018",135
"JEAN MOULIN ELEMENTAIRE","2017-2018",155
"JEAN MOULIN MATERNELLE","2017-2018",209
"JEAN ZAY ELEMENTAIRE","2017-2018",292
"JEAN ZAY I MATERNELLE","2017-2018",131
"JEAN ZAY II MATERNELLE","2017-2018",113
"JONELIERE PRIMAIRE","2017-2018",161
"JOSEPH BLANCHART MATERNELLE","2017-2018",114
"JULIEN GRACQ PRIMAIRE","2017-2018",403
"LAMORICIERE MATERNELLE","2017-2018",150
"LEDRU ROLLIN ELEMENTAIRE","2017-2018",358
"LEON BLUM ELEMENTAIRE","2017-2018",175
"LEON SAY PRIMAIRE","2017-2018",327
"LINOT ELEMENTAIRE","2017-2018",234
"LINOT MATERNELLE","2017-2018",160
"LONGCHAMP PRIMAIRE","2017-2018",378
"LOUIS GUIOTTON MATERNELLE","2017-2018",110
"LOUIS PERGAUD ELEMENTAIRE","2017-2018",250
"LOUIS PERGAUD MATERNELLE","2017-2018",129
"LOUISE MICHEL ELEMENTAIRE","2017-2018",191
"LOUISE MICHEL MATERNELLE","2017-2018",143
"LUCIE AUBRAC ELEMENTAIRE","2017-2018",140
"LUCIE AUBRAC MATERNELLE","2017-2018",95
"MAISDON PAJOT MATERNELLE","2017-2018",203
"MAISON NEUVE PRIMAIRE","2017-2018",198
"MARSAUDERIES ELEMENTAIRE","2017-2018",201
"MARSAUDERIES MATERNELLE","2017-2018",128
"MARSAUDERIES bilingue ""Français/Breton""","2017-2018",166
"MAURICE MACE ELEMENTAIRE","2017-2018",361
"MAURICE MACE MATERNELLE","2017-2018",193
"MOLIERE MATERNELLE","2017-2018",107
"MULOTIERE ELEMENTAIRE","2017-2018",159
"MUTUALITE ELEMENTAIRE","2017-2018",352
"PAUL GAUGUIN PRIMAIRE","2017-2018",274
"PAULINE KERGOMARD MATERNELLE","2017-2018",110
"PLANTES ELEMENTAIRE","2017-2018",127
"PLANTES MATERNELLE","2017-2018",99
"PLESSIS CELLIER ELEMENTAIRE","2017-2018",178
"PLESSIS CELLIER MATERNELLE","2017-2018",115
"PORT BOYER ELEMENTAIRE","2017-2018",185
"PORT BOYER MATERNELLE","2017-2018",157
"REFORMES PRIMAIRE","2017-2018",158
"RUE NOIRE PRIMAIRE","2017-2018",192
"SARAH BERNHARDT MATERNELLE","2017-2018",219
"STALINGRAD ELEMENTAIRE","2017-2018",136
"STALINGRAD MATERNELLE","2017-2018",105
"SULLY ELEMENTAIRE","2017-2018",209
"SULLY MATERNELLE","2017-2018",147
"URBAIN LE VERRIER ELEMENTAIRE","2017-2018",228
"URBAIN LE VERRIER MATERNELLE","2017-2018",184
"VILLA MARIA PRIMAIRE","2017-2018",114
"AGENETS ELEMENTAIRE","2018-2019",211
"AGENETS MATERNELLE","2018-2019",119
"AIME CESAIRE PRIMAIRE","2018-2019",281
"ALAIN FOURNIER ELEMENTAIRE","2018-2019",190
"ALAIN FOURNIER MATERNELLE","2018-2019",134
"ALPHONSE BRAUD PRIMAIRE","2018-2019",182
"AMPERE PRIMAIRE","2018-2019",293
"ANATOLE DE MONZIE ELEMENTAIRE","2018-2019",129
"ANDRE LERMITE ELEMENTAIRE","2018-2019",207
"ANGE GUEPIN ELEMENTAIRE","2018-2019",125
"BARBERIE MATERNELLE","2018-2019",69
"BATIGNOLLES ELEMENTAIRE","2018-2019",168
"BATIGNOLLES MATERNELLE","2018-2019",108
"BATIGNOLLES bilingue ""Français/Breton""","2018-2019",49
"BAUT ELEMENTAIRE","2018-2019",142
"BAUT MATERNELLE","2018-2019",104
"BEAUJOIRE ELEMENTAIRE","2018-2019",146
"BEAUJOIRE MATERNELLE","2018-2019",88
"BOCCAGE ELEMENTAIRE","2018-2019",147
"BOCCAGE MATERNELLE","2018-2019",85
"BOTTIERE ELEMENTAIRE","2018-2019",184
"BOTTIERE MATERNELLE","2018-2019",160
"CAMILLE CLAUDEL MATERNELLE","2018-2019",91
"CHAMPENOIS ELEMENTAIRE","2018-2019",166
"CHARLES LEBOURG PRIMAIRE","2018-2019",183
"CHATAIGNIERS ELEMENTAIRE","2018-2019",149
"CHATAIGNIERS MATERNELLE","2018-2019",141
"CHAUVINIERE ELEMENTAIRE","2018-2019",177
"CHAUVINIERE MATERNELLE","2018-2019",82
"CHENE D'ARON ELEMENTAIRE","2018-2019",158
"CHENE D'ARON MATERNELLE","2018-2019",84
"CONTRIE ELEMENTAIRE","2018-2019",198
"CONTRIE MATERNELLE","2018-2019",117
"COTE D'OR MATERNELLE","2018-2019",73
"COUDRAY ELEMENTAIRE","2018-2019",179
"COUDRAY MATERNELLE","2018-2019",116
"DERVALLIERES CHEZINE ELEMENTAIRE","2018-2019",223
"DERVALLIERES CHEZINE MATERNELLE","2018-2019",144
"DOCTEUR TEILLAIS MATERNELLE","2018-2019",151
"EMILE PEHANT ELEMENTAIRE","2018-2019",208
"EMILE PEHANT MATERNELLE","2018-2019",138
"FELLONNEAU ELEMENTAIRE","2018-2019",160
"FELLONNEAU MATERNELLE","2018-2019",110
"FONTENY MATERNELLE","2018-2019",139
"FRANCOIS DALLET ELEMENTAIRE","2018-2019",222
"FRANCOISE DOLTO PRIMAIRE","2018-2019",266
"FRATERNITE ELEMENTAIRE","2018-2019",300
"FREDUREAU MATERNELLE","2018-2019",82
"GARENNES ELEMENTAIRE","2018-2019",173
"GASTON SERPETTE ELEMENTAIRE","2018-2019",239
"GASTON SERPETTE MATERNELLE","2018-2019",117
"GAY LUSSAC PRIMAIRE","2018-2019",257
"GEORGE SAND ELEMENTAIRE","2018-2019",240
"GEORGES BRASSENS MATERNELLE","2018-2019",110
"GEORGES LAFONT MATERNELLE","2018-2019",78
"GRAND CARCOUET PRIMAIRE","2018-2019",209
"GUSTAVE ROCH ELEMENTAIRE","2018-2019",144
"GUSTAVE ROCH MATERNELLE","2018-2019",105
"HAROUYS PRIMAIRE","2018-2019",272
"HENRI BERGSON ELEMENTAIRE","2018-2019",162
"HENRI BERGSON MATERNELLE","2018-2019",186
"JACQUES PREVERT ELEMENTAIRE","2018-2019",136
"JACQUES PREVERT MATERNELLE","2018-2019",115
"JACQUES TATI PRIMAIRE","2018-2019",297
"JEAN JAURES ELEMENTAIRE","2018-2019",121
"JEAN MOULIN ELEMENTAIRE","2018-2019",186
"JEAN MOULIN MATERNELLE","2018-2019",207
"JEAN ZAY ELEMENTAIRE","2018-2019",305
"JEAN ZAY I MATERNELLE","2018-2019",142
"JEAN ZAY II MATERNELLE","2018-2019",116
"JONELIERE PRIMAIRE","2018-2019",170
"JOSEPH BLANCHART MATERNELLE","2018-2019",110
"JULIEN GRACQ PRIMAIRE","2018-2019",404
"LAMORICIERE MATERNELLE","2018-2019",170
"LEDRU ROLLIN ELEMENTAIRE","2018-2019",348
"LEON BLUM ELEMENTAIRE","2018-2019",158
"LEON SAY PRIMAIRE","2018-2019",316
"LINOT ELEMENTAIRE","2018-2019",217
"LINOT MATERNELLE","2018-2019",158
"LONGCHAMP PRIMAIRE","2018-2019",366
"LOUIS GUIOTTON MATERNELLE","2018-2019",106
"LOUIS PERGAUD ELEMENTAIRE","2018-2019",268
"LOUIS PERGAUD MATERNELLE","2018-2019",134
"LOUISE MICHEL ELEMENTAIRE","2018-2019",186
"LOUISE MICHEL MATERNELLE","2018-2019",167
"LUCIE AUBRAC ELEMENTAIRE","2018-2019",151
"LUCIE AUBRAC MATERNELLE","2018-2019",136
"MAISDON PAJOT MATERNELLE","2018-2019",201
"MAISON NEUVE PRIMAIRE","2018-2019",195
"MARSAUDERIES ELEMENTAIRE","2018-2019",214
"MARSAUDERIES MATERNELLE","2018-2019",118
"MARSAUDERIES bilingue ""Français/Breton""","2018-2019",161
"MAURICE MACE ELEMENTAIRE","2018-2019",357
"MAURICE MACE MATERNELLE","2018-2019",201
"MOLIERE MATERNELLE","2018-2019",96
"MULOTIERE ELEMENTAIRE","2018-2019",152
"MUTUALITE ELEMENTAIRE","2018-2019",373
"PAUL GAUGUIN PRIMAIRE","2018-2019",277
"PAULINE KERGOMARD MATERNELLE","2018-2019",114
"PLANTES ELEMENTAIRE","2018-2019",143
"PLANTES MATERNELLE","2018-2019",119
"PLESSIS CELLIER ELEMENTAIRE","2018-2019",194
"PLESSIS CELLIER MATERNELLE","2018-2019",137
"PORT BOYER ELEMENTAIRE","2018-2019",180
"PORT BOYER MATERNELLE","2018-2019",148
"REFORMES PRIMAIRE","2018-2019",164
"RUE NOIRE PRIMAIRE","2018-2019",176
"SARAH BERNHARDT MATERNELLE","2018-2019",219
"STALINGRAD ELEMENTAIRE","2018-2019",139
"STALINGRAD MATERNELLE","2018-2019",117
"SULLY ELEMENTAIRE","2018-2019",216
"SULLY MATERNELLE","2018-2019",132
"URBAIN LE VERRIER ELEMENTAIRE","2018-2019",257
"URBAIN LE VERRIER MATERNELLE","2018-2019",212
"VILLA MARIA PRIMAIRE","2018-2019",115
"AGENETS ELEMENTAIRE","2019-2020",209
"AGENETS MATERNELLE","2019-2020",134
"AIME CESAIRE PRIMAIRE","2019-2020",343
"ALAIN FOURNIER ELEMENTAIRE","2019-2020",190
"ALAIN FOURNIER MATERNELLE","2019-2020",134
"ALPHONSE BRAUD PRIMAIRE","2019-2020",167
"AMPERE PRIMAIRE","2019-2020",297
"ANATOLE DE MONZIE ELEMENTAIRE","2019-2020",133
"ANDRE LERMITE ELEMENTAIRE","2019-2020",194
"ANGE GUEPIN ELEMENTAIRE","2019-2020",111
"BARBERIE MATERNELLE","2019-2020",69
"BATIGNOLLES PRIMAIRE","2019-2020",284
"BATIGNOLLES bilingue ""Français/Breton""","2019-2020",60
"BAUT ELEMENTAIRE","2019-2020",152
"BAUT MATERNELLE","2019-2020",98
"BEAUJOIRE ELEMENTAIRE","2019-2020",136
"BEAUJOIRE MATERNELLE","2019-2020",106
"BOCCAGE ELEMENTAIRE","2019-2020",133
"BOCCAGE MATERNELLE","2019-2020",87
"BOTTIERE ELEMENTAIRE","2019-2020",199
"BOTTIERE MATERNELLE","2019-2020",165
"CAMILLE CLAUDEL MATERNELLE","2019-2020",103
"CHAMPENOIS ELEMENTAIRE","2019-2020",169
"CHARLES LEBOURG PRIMAIRE","2019-2020",178
"CHATAIGNIERS ELEMENTAIRE","2019-2020",164
"CHATAIGNIERS MATERNELLE","2019-2020",142
"CHAUVINIERE ELEMENTAIRE","2019-2020",152
"CHAUVINIERE MATERNELLE","2019-2020",80
"CHENE D'ARON ELEMENTAIRE","2019-2020",158
"CHENE D'ARON MATERNELLE","2019-2020",84
"CONTRIE ELEMENTAIRE","2019-2020",206
"CONTRIE MATERNELLE","2019-2020",138
"COTE D'OR MATERNELLE","2019-2020",79
"COUDRAY ELEMENTAIRE","2019-2020",185
"COUDRAY MATERNELLE","2019-2020",119
"DERVALLIERES CHEZINE ELEMENTAIRE","2019-2020",212
"DERVALLIERES CHEZINE MATERNELLE","2019-2020",145
"DOCTEUR TEILLAIS MATERNELLE","2019-2020",135
"EMILE PEHANT ELEMENTAIRE","2019-2020",226
"EMILE PEHANT MATERNELLE","2019-2020",132
"FELLONNEAU ELEMENTAIRE","2019-2020",160
"FELLONNEAU MATERNELLE","2019-2020",133
"FONTENY MATERNELLE","2019-2020",147
"FRANCOIS DALLET ELEMENTAIRE","2019-2020",221
"FRANCOISE DOLTO PRIMAIRE","2019-2020",262
"FRATERNITE ELEMENTAIRE","2019-2020",318
"FREDUREAU MATERNELLE","2019-2020",87
"GARENNES ELEMENTAIRE","2019-2020",160
"GASTON SERPETTE ELEMENTAIRE","2019-2020",231
"GASTON SERPETTE MATERNELLE","2019-2020",115
"GAY LUSSAC PRIMAIRE","2019-2020",244
"GEORGE SAND ELEMENTAIRE","2019-2020",255
"GEORGES BRASSENS MATERNELLE","2019-2020",110
"GEORGES LAFONT MATERNELLE","2019-2020",82
"GRAND CARCOUET PRIMAIRE","2019-2020",213
"GUSTAVE ROCH ELEMENTAIRE","2019-2020",151
"GUSTAVE ROCH MATERNELLE","2019-2020",105
"HAROUYS PRIMAIRE","2019-2020",263
"HENRI BERGSON ELEMENTAIRE","2019-2020",161
"HENRI BERGSON MATERNELLE","2019-2020",195
"JACQUES PREVERT ELEMENTAIRE","2019-2020",140
"JACQUES PREVERT MATERNELLE","2019-2020",141
"JACQUES TATI PRIMAIRE","2019-2020",352
"JEAN JAURES ELEMENTAIRE","2019-2020",124
"JEAN MOULIN ELEMENTAIRE","2019-2020",187
"JEAN MOULIN MATERNELLE","2019-2020",202
"JEAN ZAY ELEMENTAIRE","2019-2020",317
"JEAN ZAY I MATERNELLE","2019-2020",144
"JEAN ZAY II MATERNELLE","2019-2020",117
"JONELIERE PRIMAIRE","2019-2020",179
"JOSEPH BLANCHART MATERNELLE","2019-2020",105
"JULIEN GRACQ PRIMAIRE","2019-2020",400
"LAMORICIERE MATERNELLE","2019-2020",173
"LEDRU ROLLIN ELEMENTAIRE","2019-2020",351
"LEON BLUM ELEMENTAIRE","2019-2020",152
"LEON SAY PRIMAIRE","2019-2020",320
"LINOT ELEMENTAIRE","2019-2020",224
"LINOT MATERNELLE","2019-2020",141
"LONGCHAMP PRIMAIRE","2019-2020",394
"LOUIS GUIOTTON MATERNELLE","2019-2020",117
"LOUIS PERGAUD ELEMENTAIRE","2019-2020",254
"LOUIS PERGAUD MATERNELLE","2019-2020",138
"LOUISE MICHEL ELEMENTAIRE","2019-2020",213
"LOUISE MICHEL MATERNELLE","2019-2020",158
"LUCIE AUBRAC ELEMENTAIRE","2019-2020",171
"LUCIE AUBRAC MATERNELLE","2019-2020",137
"MAISDON PAJOT MATERNELLE","2019-2020",193
"MAISON NEUVE PRIMAIRE","2019-2020",215
"MARSAUDERIES ELEMENTAIRE","2019-2020",209
"MARSAUDERIES MATERNELLE","2019-2020",121
"MARSAUDERIES bilingue ""Français/Breton""","2019-2020",159
"MAURICE MACE ELEMENTAIRE","2019-2020",335
"MAURICE MACE MATERNELLE","2019-2020",204
"MOLIERE MATERNELLE","2019-2020",100
"MULOTIERE ELEMENTAIRE","2019-2020",151
"MUTUALITE ELEMENTAIRE","2019-2020",404
"PAUL GAUGUIN PRIMAIRE","2019-2020",290
"PAULINE KERGOMARD MATERNELLE","2019-2020",119
"PLANTES ELEMENTAIRE","2019-2020",149
"PLANTES MATERNELLE","2019-2020",115
"PLESSIS CELLIER ELEMENTAIRE","2019-2020",230
"PLESSIS CELLIER MATERNELLE","2019-2020",139
"PORT BOYER ELEMENTAIRE","2019-2020",188
"PORT BOYER MATERNELLE","2019-2020",160
"REFORMES PRIMAIRE","2019-2020",159
"RUE NOIRE PRIMAIRE","2019-2020",174
"SARAH BERNHARDT MATERNELLE","2019-2020",219
"STALINGRAD ELEMENTAIRE","2019-2020",119
"STALINGRAD MATERNELLE","2019-2020",103
"SULLY ELEMENTAIRE","2019-2020",212
"SULLY MATERNELLE","2019-2020",122
"URBAIN LE VERRIER ELEMENTAIRE","2019-2020",254
"URBAIN LE VERRIER MATERNELLE","2019-2020",218
"VILLA MARIA PRIMAIRE","2019-2020",117
