"","date","menu"
"1",2011-01-03,"Pamplemousse"
"2",2011-01-03,"Hachis Parmentier"
"3",2011-01-03,"Salade verte"
"4",2011-01-03,"Flan caramel"
"5",2011-01-04,"Crêpe au fromage"
"6",2011-01-04,"emincé de volaille à la forestière"
"7",2011-01-04,"haricots beurre / haricots plats"
"8",2011-01-04,"St paulin"
"9",2011-01-04,"ananas"
"10",2011-01-05,"Concombres crème"
"11",2011-01-05,"saute de veau agrumes"
"12",2011-01-05,"riz pilaf"
"13",2011-01-05,"Gouda"
"14",2011-01-05,"Cocktail de fruits"
"15",2011-01-06,"thon"
"16",2011-01-06,"Mâche au thon"
"17",2011-01-06,"Croziflette"
"18",2011-01-06,"des de canard"
"19",2011-01-06,"des de volaille"
"20",2011-01-06,"Yaourt brasse bio"
"21",2011-01-07,"Choux blancs mimolette"
"22",2011-01-07,"milanette en des"
"23",2011-01-07,"filet surgele printaniere"
"24",2011-01-07,"carottes persillées"
"25",2011-01-07,"Galette des rois"
"26",2011-01-07,"Lait fermier"
"27",2011-01-10,"Endives / demi-œuf"
"28",2011-01-10,"paella de la mer"
"29",2011-01-10,"Fromage blanc"
"30",2011-01-10,"et abricots secs"
"31",2011-01-11,"Taboulé"
"32",2011-01-11,"sauté de bœuf Bourguignon"
"33",2011-01-11,"haricots verts"
"34",2011-01-11,"Tomme bio"
"35",2011-01-11,"Clémentines"
"36",2011-01-12,"Salade carnaval (maïs, tomate, concombres)"
"37",2011-01-12,"Jambon fumé"
"38",2011-01-12,"jambon de dinde"
"39",2011-01-12,"Marmelade de pommes"
"40",2011-01-12,"St Nectaire"
"41",2011-01-12,"galette des rois"
"42",2011-01-13,"carottes râpées bio"
"43",2011-01-13,"rôti de dinde"
"44",2011-01-13,"jus de veau"
"45",2011-01-13,"purée de p  de terre"
"46",2011-01-13,"Yaourt Fruix"
"47",2011-01-14,"Pizza au fromage"
"48",2011-01-14,"citron"
"49",2011-01-14,"poisson pané"
"50",2011-01-14,"épinards à la crème"
"51",2011-01-14,"Edam"
"52",2011-01-14,"Pomme"
"53",2011-01-17,"Mâche au surimi"
"54",2011-01-17,"pâte"
"55",2011-01-17,"sauce bolognaise"
"56",2011-01-17,"gruyère râpée"
"57",2011-01-17,"Crème dessert vanille"
"58",2011-01-18,"Choux rouges"
"59",2011-01-18,"Sauté de porc Forestière"
"60",2011-01-18,"sauté de dinde  forestière"
"61",2011-01-18,"batonnière de légumes"
"62",2011-01-18,"Beignet chocolat"
"63",2011-01-18,"Lait fermier"
"64",2011-01-19,"Betteraves au chèvre"
"65",2011-01-19,"tagine d'Agneau"
"66",2011-01-19,"semoule de couscous aux raisins"
"67",2011-01-19,"Kiwi"
"68",2011-01-20,"Potage tomate / vermicelle"
"69",2011-01-20,"cordon bleu de volaille"
"70",2011-01-20,"petits pois  à l'anglaise"
"71",2011-01-20,"Camembert"
"72",2011-01-20,"Banane"
"73",2011-01-21,"Concombres vgte"
"74",2011-01-21,"Poisson"
"75",2011-01-21,"beurre blanc"
"76",2011-01-21,"riz pilaf"
"77",2011-01-21,"Gervais aux fruits"
"78",2011-01-24,"Potage carottes"
"79",2011-01-24,"Poisson meunière"
"80",2011-01-24,"Courgettes à la tomate"
"81",2011-01-24,"Gouda"
"82",2011-01-24,"Ananas"
"83",2011-01-25,"pamplemousse"
"84",2011-01-25,"sauté de veau Marengo"
"85",2011-01-25,"Frites"
"86",2011-01-25,"Yaourt aromatisé"
"87",2011-01-26,"Pâté"
"88",2011-01-26,"cornichons"
"89",2011-01-26,"Haché de volaille"
"90",2011-01-26,"Epinards"
"91",2011-01-26,"Gruyère"
"92",2011-01-26,"Clémentines"
"93",2011-01-27,"salade de pâtes aux tomates confites"
"94",2011-01-27,"cuisse de poulet rôti au jus"
"95",2011-01-27,"poulet fermier"
"96",2011-01-27,"Choux fleurs béchamel agro"
"97",2011-01-27,"Tomme blanche"
"98",2011-01-27,"Pomme"
"99",2011-01-28,"salade verte au thon"
"100",2011-01-28,"Omelette"
"101",2011-01-28,"Riz à la forestière"
"102",2011-01-28,"Crème dessert chocolat"
"103",2011-01-31,"betteraves cubes"
"104",2011-01-31,"lasagnes bolo"
"105",2011-01-31,"salade verte"
"106",2011-01-31,"Flan caramel"
"107",2011-02-01,"Potage légumes"
"108",2011-02-01,"Jambon fumé"
"109",2011-02-01,"jambon de dinde agro"
"110",2011-02-01,"carottes crème"
"111",2011-02-01,"Champanet"
"112",2011-02-01,"Clémentines"
"113",2011-02-02,"Chandeleur"
"114",2011-02-02,"Mâche au surimi"
"115",2011-02-02,"Rôti de boeuf"
"116",2011-02-02,"Flageolets"
"117",2011-02-02,"St paulin"
"118",2011-02-02,"Crêpes au sucre"
"119",2011-02-03,"nouvel an chinois"
"120",2011-02-03,"salade"
"121",2011-02-03,"nem's de volaille"
"122",2011-02-03,"Emincé de dinde au caramel"
"123",2011-02-03,"poelée asiatique"
"124",2011-02-03,"salade de fruit exotique"
"125",2011-02-03,"et litchis"
"126",2011-02-04,"Choux à la mimolette"
"127",2011-02-04,"calamar armoricaine"
"128",2011-02-04,"Pommes de terre sautées agro"
"129",2011-02-04,"Kiwi"
"130",2011-02-07,"Tarte au fromage"
"131",2011-02-07,"poulet confit"
"132",2011-02-07,"Haricots verts"
"133",2011-02-07,"Pomme"
"134",2011-02-08,"Concombres vgte"
"135",2011-02-08,"Toulouse grillée"
"136",2011-02-08,"saucisse de volaille"
"137",2011-02-08,"haricots blanc à la tomate"
"138",2011-02-08,"blanc à la neige"
"139",2011-02-08,"crème anglaise"
"140",2011-02-09,"Potage tomate"
"141",2011-02-09,"poisson surgelee"
"142",2011-02-09,"sauce Normande"
"143",2011-02-09,"Riz"
"144",2011-02-09,"Edam"
"145",2011-02-09,"Ananas"
"146",2011-02-10,"Carottes râpées"
"147",2011-02-10,"Cœur de boeuf à la dijonnaise"
"148",2011-02-10,"Pomme noisettes"
"149",2011-02-10,"Suisses aro"
"150",2011-02-11,"salade de pomme de terre"
"151",2011-02-11,"tomate / concombre"
"152",2011-02-11,"poisson meunière"
"153",2011-02-11,"Brocolis beurre Provençal"
"154",2011-02-11,"St Bricet"
"155",2011-02-11,"Mirabelles au sirop"
"156",2011-02-14,"Salade coleslaw"
"157",2011-02-14,"Blanquette de veau"
"158",2011-02-14,"pomme vapeur"
"159",2011-02-14,"Yaourt aromatisé"
"160",2011-02-15,"salade de mâche à la mimolette"
"161",2011-02-15,"rôti de porc et  dinde"
"162",2011-02-15,"Petits pois"
"163",2011-02-15,"crêpes"
"164",2011-02-15,"confiture"
"165",2011-02-16,"Salade"
"166",2011-02-16,"demi-œuf"
"167",2011-02-16,"coquillette"
"168",2011-02-16,"sauce bolognaise et râpé"
"169",2011-02-16,"Fromage blanc"
"170",2011-02-16,"et fruits rouges cuisinés"
"171",2011-02-17,"Potage tomate/vermicelle"
"172",2011-02-17,"cordon bleu de volaille"
"173",2011-02-17,"Haricots beurre et plats"
"174",2011-02-17,"st paulin"
"175",2011-02-17,"Banane"
"176",2011-02-18,"Salade de lentilles"
"177",2011-02-18,"Lentilles, tomates, maïs"
"178",2011-02-18,"filet de lieu  au beurre blanc"
"179",2011-02-18,"Carottes"
"180",2011-02-18,"Crème de gruyère"
"181",2011-02-18,"Kiwi"
"182",2011-02-21,"Endives aux pommes"
"183",2011-02-21,"sauté de boeuf AUX POIVRES"
"184",2011-02-21,"Pâtes"
"185",2011-02-21,"Liégeois"
"186",2011-02-22,"taboulé"
"187",2011-02-22,"poisson pané/citron"
"188",2011-02-22,"choux fleurs agro"
"189",2011-02-22,"Tomme bio"
"190",2011-02-22,"Clémentines"
"191",2011-02-23,"TEST betteraves bio"
"192",2011-02-23,"rôti de porc au jus"
"193",2011-02-23,"escalope de dinde"
"194",2011-02-23,"haricots verts"
"195",2011-02-23,"Tarte aux pommes"
"196",2011-02-24,"Rillettes de thon"
"197",2011-02-24,"tartiflette de canard"
"198",2011-02-24,"salade verte"
"199",2011-02-24,"Crème vanille"
"200",2011-02-25,"REPAS POUR LA PLANETE"
"201",2011-02-25,"Crème de lentilles au cumin"
"202",2011-02-25,"Quinoa aux petits légumes"
"203",2011-02-25,"yaourt bio"
"204",2011-02-25,"abricots sec"
"205",2011-02-28,"pamplemousse"
"206",2011-02-28,"Chili Con Carne"
"207",2011-02-28,"Riz"
"208",2011-02-28,"Suisses aro"
"209",2011-03-01,"Salade de blés, tomate, maïs"
"210",2011-03-01,"Rôti de dinde"
"211",2011-03-01,"Carotte et salsifis  au gratin"
"212",2011-03-01,"Camembert"
"213",2011-03-01,"Kiwi"
"214",2011-03-02,"Choux blancs mimolette"
"215",2011-03-02,"sauté de veau au citron"
"216",2011-03-02,"Frites"
"217",2011-03-02,"Compote"
"218",2011-03-03,"concombres"
"219",2011-03-03,"Timbale de pâtes"
"220",2011-03-03,"et râpé"
"221",2011-03-03,"Ile flottante"
"222",2011-03-04,"Potage de légumes"
"223",2011-03-04,"Œufs brouillés"
"224",2011-03-04,"Epinards"
"225",2011-03-04,"Tomme blanche"
"226",2011-03-04,"Banane"
"227",2011-03-07,"salade"
"228",2011-03-07,"surimi"
"229",2011-03-07,"Poulet rôti"
"230",2011-03-07,"Lentilles maison"
"231",2011-03-07,"Yaourt aro"
"232",2011-03-08,"Pizza au fromage"
"233",2011-03-08,"rôti de bœuf"
"234",2011-03-08,"sauce aux poivres"
"235",2011-03-08,"Petits pois"
"236",2011-03-08,"Pomme"
"237",2011-03-09,"carottes râpées"
"238",2011-03-09,"Escalope de dinde au jus"
"239",2011-03-09,"Brocolis à la provençale"
"240",2011-03-09,"Gouda"
"241",2011-03-09,"Eclair choco"
"242",2011-03-10,"Choux rouges"
"243",2011-03-10,"Rôti de porc"
"244",2011-03-10,"merguez"
"245",2011-03-10,"purée de p de terre"
"246",2011-03-10,"Crème vanille"
"247",2011-03-11,"taboulé céréale gourmande"
"248",2011-03-11,"poisson pané/citron"
"249",2011-03-11,"Courgettes à la tomate"
"250",2011-03-11,"Port salut"
"251",2011-03-11,"Ananas"
"252",2011-03-14,"galantine de volaille / cornichons"
"253",2011-03-14,"lasagne de bœuf"
"254",2011-03-14,"Mâche"
"255",2011-03-14,"Crème anglaise"
"256",2011-03-15,"Choux blancs bio à la mimolette"
"257",2011-03-15,"Jambon fumé"
"258",2011-03-15,"jambon de dinde"
"259",2011-03-15,"Marmelade de pommes"
"260",2011-03-15,"Gâteau au yaourt"
"261",2011-03-15,"Lait fermier"
"262",2011-03-16,"Concombres"
"263",2011-03-16,"blanquette de veau"
"264",2011-03-16,"riz pilaf"
"265",2011-03-16,"Champanet"
"266",2011-03-16,"Orange"
"267",2011-03-17,"salade de lentilles"
"268",2011-03-17,"maïs, tomate1/8"
"269",2011-03-17,"Emincé de dinde Niçois"
"270",2011-03-17,"Carottes"
"271",2011-03-17,"Tomme bio"
"272",2011-03-17,"Banane"
"273",2011-03-18,"radis / beurre"
"274",2011-03-18,"Parmentier de poisson maison"
"275",2011-03-18,"Salade verte"
"276",2011-03-18,"Mousse chocolat"
"277",2011-03-21,"MANGER BOUGER"
"278",2011-03-21,"Mâche aux noix"
"279",2011-03-21,"Haché de poulet"
"280",2011-03-21,"gratin de pâtes/rape"
"281",2011-03-21,"Yaourt bio"
"282",2011-03-21,"Abricots secs"
"283",2011-03-22,"salade pomme de terre"
"284",2011-03-22,"et filet de sardine"
"285",2011-03-22,"rôti de bœuf"
"286",2011-03-22,"Ketchup"
"287",2011-03-22,"Haricots verts"
"288",2011-03-22,"Crème de gruyère"
"289",2011-03-22,"Kiwi"
"290",2011-03-23,"Tomates"
"291",2011-03-23,"Boudin noir/mergeuz"
"292",2011-03-23,"Purée de céleri"
"293",2011-03-23,"St Paulin"
"294",2011-03-23,"Grillé aux cerises"
"295",2011-03-24,"Bâtonnets de carottes"
"296",2011-03-24,"et sauce crème"
"297",2011-03-24,"Omelette"
"298",2011-03-24,"riz / ratatouille"
"299",2011-03-24,"Chèvre"
"300",2011-03-24,"Pomme cuite à la framboise"
"301",2011-03-25,"Betteraves / maïs"
"302",2011-03-25,"Duo de poisson cube"
"303",2011-03-25,"sauce crustacés"
"304",2011-03-25,"Palet brocolis / carottes"
"305",2011-03-25,"Camembert"
"306",2011-03-25,"Ananas"
"307",2011-03-28,"Rillettes de thon/citron"
"308",2011-03-28,"Parmentier de bœuf"
"309",2011-03-28,"salade verte"
"310",2011-03-28,"Fromage blanc"
"311",2011-03-29,"Tarte au fromage"
"312",2011-03-29,"Poulet rôti au jus"
"313",2011-03-29,"Choux fleurs béchamel agro"
"314",2011-03-29,"Pomme"
"315",2011-03-30,"Mâche / demi-œuf"
"316",2011-03-30,"Croziflette"
"317",2011-03-30,"dés de canard, dés de dinde"
"318",2011-03-30,"Flan caramel"
"319",2011-03-31,"Concombres"
"320",2011-03-31,"Sauté de porc au curry"
"321",2011-03-31,"sauté de dinde au curry"
"322",2011-03-31,"Batonnière de légumes"
"323",2011-03-31,"Eclair chocolat"
"324",2011-03-31,"lait fermier"
"325",2011-04-01,"carottes râpées"
"326",2011-04-01,"filet de lieu sauce marmite du perray"
"327",2011-04-01,"RIZ"
"328",2011-04-01,"Gruyère"
"329",2011-04-01,"Kiwi"
"330",2011-04-04,"radis / beurre"
"331",2011-04-04,"Cœur de bœuf sauce dijonnaise"
"332",2011-04-04,"purée de p de terre"
"333",2011-04-04,"Yaourt aro"
"334",2011-04-05,"Salade au surimi"
"335",2011-04-05,"cuisse de poulet confit"
"336",2011-04-05,"Petits pois"
"337",2011-04-05,"St Bricet"
"338",2011-04-05,"riz au lait maison"
"339",2011-04-06,"Pizza"
"340",2011-04-06,"Filet de poisson sauce safranée"
"341",2011-04-06,"Carottes"
"342",2011-04-06,"St nectaire"
"343",2011-04-06,"Pomme"
"344",2011-04-07,"Choux rouges bio au gruyère"
"345",2011-04-07,"Couscous boulettes de bœuf"
"346",2011-04-07,"semoule"
"347",2011-04-07,"legumes"
"348",2011-04-07,"banane"
"349",2011-04-08,"blé maïs tomate"
"350",2011-04-08,"filet de poisson meunière"
"351",2011-04-08,"Brocolis"
"352",2011-04-08,"Gouda"
"353",2011-04-08,"Ananas"
"354",2011-04-11,"Concombres"
"355",2011-04-11,"Cordon bleu"
"356",2011-04-11,"Choux fleurs agro"
"357",2011-04-11,"Port salut"
"358",2011-04-11,"compote"
"359",2011-04-11,"Biscuit du Blavet sans DLUO"
"360",2011-04-12,"Crêpe au fromage"
"361",2011-04-12,"Sauté de veau Marengo"
"362",2011-04-12,"Haricots verts"
"363",2011-04-12,"Chèvre"
"364",2011-04-12,"Orange"
"365",2011-04-13,"panaché de choux blancs et rouges"
"366",2011-04-13,"sauce Bolognaise maison"
"367",2011-04-13,"tortis"
"368",2011-04-13,"Crème chocolat"
"369",2011-04-14,"Mâche demi-œuf"
"370",2011-04-14,"dinde"
"371",2011-04-14,"Rôti de porc au jus"
"372",2011-04-14,"haricots blanc à la tomate"
"373",2011-04-14,"Tomme bio"
"374",2011-04-14,"Kiwi"
"375",2011-04-15,"Gaspacho"
"376",2011-04-15,"fiet de lieu sauce Normande"
"377",2011-04-15,"pomme de terre rissolée"
"378",2011-04-15,"yaourt brassé bio"
"379",2011-04-18,"salade verte aux dés de gruyère"
"380",2011-04-18,"Choucroute Collet ( saucisse)"
"381",2011-04-18,"Choucroute de dinde ( saucisse)"
"382",2011-04-18,"Pomme"
"383",2011-04-19,"Bettraves râpées ""maison"""
"384",2011-04-19,"Omelette"
"385",2011-04-19,"ratatouille maison"
"386",2011-04-19,"Edam"
"387",2011-04-19,"semoule au lait maison"
"388",2011-04-20,"radis /beurre"
"389",2011-04-20,"Cuisse de poulet rôti au jus"
"390",2011-04-20,"petits pois à l'Anglaise"
"391",2011-04-20,"Fromage blanc / fraises"
"392",2011-04-21,"salade de tomatesmaison"
"393",2011-04-21,"steak haché"
"394",2011-04-21,"Frites"
"395",2011-04-21,"Suisses aro"
"396",2011-04-22,"salade des Iles (Carottes, surimi, ananas)"
"397",2011-04-22,"poisson sauce  des caraïbes"
"398",2011-04-22,"Riz antillais"
"399",2011-04-22,"Chèvretine"
"400",2011-04-22,"Flan noix de coco"
"401",2011-04-22,"Menu des Caraïbes"
"402",2011-04-25,"lundi de pâques"
"403",2011-04-26,"Pâté bio/cornichons"
"404",2011-04-26,"Bœuf Bourguignon"
"405",2011-04-26,"petits pois"
"406",2011-04-26,"Tomme blanche"
"407",2011-04-26,"Ananas"
"408",2011-04-27,"Salade au gruyère"
"409",2011-04-27,"Courgettes farcie"
"410",2011-04-27,"Rizotto"
"411",2011-04-27,"salade de fruits exotiques"
"412",2011-04-28,"Concombres"
"413",2011-04-28,"Jambon blanc / jambon de dinde"
"414",2011-04-28,"Frites"
"415",2011-04-28,"Ile flottante"
"416",2011-04-29,"Pizza"
"417",2011-04-29,"filet de poisson pané"
"418",2011-04-29,"choux fleurs à la crème"
"419",2011-04-29,"Gouda"
"420",2011-04-29,"Kiwi"
"421",2011-05-02,"Salade aux noix"
"422",2011-05-02,"paëlla au poulet"
"423",2011-05-02,"Liégeois"
"424",2011-05-03,"Crêpe au fromage"
"425",2011-05-03,"Steak haché"
"426",2011-05-03,"Haricots verts"
"427",2011-05-03,"Chèvre"
"428",2011-05-03,"Salade de fruits frais"
"429",2011-05-04,"Radis /beurre"
"430",2011-05-04,"Merguez"
"431",2011-05-04,"ratatouille maison"
"432",2011-05-04,"Camembert"
"433",2011-05-04,"Gâteau au fromage Blanc (Poupart)"
"434",2011-05-05,"céleri rémoulade maison"
"435",2011-05-05,"Rôti de porc"
"436",2011-05-05,"rôti de dinde de dinde"
"437",2011-05-05,"purée de p de terre"
"438",2011-05-05,"yaourt aromatisé"
"439",2011-05-06,"Taboulé"
"440",2011-05-06,"Cube de poisson Dieppoise"
"441",2011-05-06,"épinards à la crème"
"442",2011-05-06,"Crème de gruyère"
"443",2011-05-06,"Fraises au sucre"
"444",2011-05-09,"Melon"
"445",2011-05-09,"lasagne de bœuf"
"446",2011-05-09,"salade"
"447",2011-05-09,"Crème vanille"
"448",2011-05-10,"Concombres"
"449",2011-05-10,"Poisson  meunière  ou saumon pane"
"450",2011-05-10,"Brocolis au beurre"
"451",2011-05-10,"Pain perdu"
"452",2011-05-10,"Lait bio"
"453",2011-05-11,"Betteraves cuite"
"454",2011-05-11,"Emincé de boeuf"
"455",2011-05-11,"Pommes noisette"
"456",2011-05-11,"Morbier"
"457",2011-05-11,"Pomme"
"458",2011-05-12,"salade de blé bio (blé, tomate, maïs)"
"459",2011-05-12,"Rôti de porc au jus"
"460",2011-05-12,"haricots beurre et plats agro"
"461",2011-05-12,"St Paulin"
"462",2011-05-12,"Fraises au sucre"
"463",2011-05-13,"Repas indien"
"464",2011-05-13,"Samossa de légumes"
"465",2011-05-13,"Dhal aux lentilles et volaille"
"466",2011-05-13,"Lassi :"
"467",2011-05-13,"Yaourt bio"
"468",2011-05-13,"framboise"
"469",2011-05-16,"Salade de pommes de terre (PdT, tomates des , œuf)"
"470",2011-05-16,"Poisson pané/citron"
"471",2011-05-16,"Bâtonnière de légumes"
"472",2011-05-16,"Crème de gruyère"
"473",2011-05-16,"Ananas"
"474",2011-05-17,"Choux blancs mimolette"
"475",2011-05-17,"Sauté de dinde à la dijonnaise"
"476",2011-05-17,"Pâtes"
"477",2011-05-17,"Cocktail de fruits"
"478",2011-05-18,"Salade au thon"
"479",2011-05-18,"chipolata/merguez"
"480",2011-05-18,"poelee chinoise"
"481",2011-05-18,"Camembert"
"482",2011-05-18,"Eclair choco"
"483",2011-05-19,"Pizza"
"484",2011-05-19,"Rôti de bœuf"
"485",2011-05-19,"Ketchup"
"486",2011-05-19,"petits pois"
"487",2011-05-19,"Banane"
"488",2011-05-20,"Carottes râpées bio"
"489",2011-05-20,"Omelette"
"490",2011-05-20,"gratin de p de terr maison"
"491",2011-05-20,"Yaourt aro"
"492",2011-05-23,"salade au surimi"
"493",2011-05-23,"Chili corn carne"
"494",2011-05-23,"Riz"
"495",2011-05-23,"Yaourt bio"
"496",2011-05-24,"Salade de pâtes aux tomates confites"
"497",2011-05-24,"Pilons de poulet confit"
"498",2011-05-24,"Haricots  verts"
"499",2011-05-24,"Gouda"
"500",2011-05-24,"Kiwi"
"501",2011-05-25,"Concombres"
"502",2011-05-25,"Rôti de veau farci"
"503",2011-05-25,"Haricots blancs tomate"
"504",2011-05-25,"Edam"
"505",2011-05-25,"Poires au sirop"
"506",2011-05-26,"Melon"
"507",2011-05-26,"Jambon fumé/bl de dinde"
"508",2011-05-26,"Epinards"
"509",2011-05-26,"Beignet aux pommes"
"510",2011-05-26,"lait bio"
"511",2011-05-27,"betteraves en des"
"512",2011-05-27,"poisson frais/sc crustace"
"513",2011-05-27,"Pommes rissolées"
"514",2011-05-27,"Tomme bio"
"515",2011-05-27,"Fraises au sucre"
"516",2011-05-30,"Salade de riz au thon agro"
"517",2011-05-30,"cordon bleu de volaille"
"518",2011-05-30,"haricots beurre"
"519",2011-05-30,"st Nectaire"
"520",2011-05-30,"ananas"
"521",2011-05-31,"gréves"
"522",2011-05-31,"repas de depannage"
"523",2011-05-31,"ou froid"
"524",2011-06-01,"ECOLE"
"525",2011-06-01,"crepes fromage"
"526",2011-06-01,"lieu"
"527",2011-06-01,"marmite du perray"
"528",2011-06-01,"Carottes en surgelees"
"529",2011-06-01,"Tomme blanche"
"530",2011-06-01,"fraises"
"531",2011-06-02,"Ascension"
"532",2011-06-03,"SANS CLASSE"
"533",2011-06-06,"melon"
"534",2011-06-06,"Sauté de porc"
"535",2011-06-06,"sauté de dinde"
"536",2011-06-06,"Wok de légumes croquant"
"537",2011-06-06,"Grillé aux abricots"
"538",2011-06-06,"lait bio"
"539",2011-06-07,"salade de tomates"
"540",2011-06-07,"Courgette farcie"
"541",2011-06-07,"Riz"
"542",2011-06-07,"crème anglaise"
"543",2011-06-08,"Pastèque"
"544",2011-06-08,"Steak haché"
"545",2011-06-08,"Pâtes"
"546",2011-06-08,"Chèvre"
"547",2011-06-08,"macaron fraise rubharbe"
"548",2011-06-09,"Clafoutis de l'été (Pizza Clot)"
"549",2011-06-09,"filet de poulet"
"550",2011-06-09,"Petits pois cuisinés"
"551",2011-06-09,"Camembert"
"552",2011-06-09,"cerise"
"553",2011-06-10,"carottes râpées"
"554",2011-06-10,"filet de lieu aux petits légumes"
"555",2011-06-10,"pommes vapeur"
"556",2011-06-10,"Tome bio"
"557",2011-06-10,"nectarine"
"558",2011-06-14,"Pizza"
"559",2011-06-14,"Poisson pané"
"560",2011-06-14,"Brocolis"
"561",2011-06-14,"salade de fruits"
"562",2011-06-15,"Melon"
"563",2011-06-15,"Emincé de volaille basquaise"
"564",2011-06-15,"haricots verts"
"565",2011-06-15,"Gruyère"
"566",2011-06-15,"semoule au lait"
"567",2011-06-16,"Gaspacho"
"568",2011-06-16,"Blanquette de veau"
"569",2011-06-16,"pomme de terre rissolées"
"570",2011-06-16,"Yaourt aro"
"571",2011-06-17,"radis / beurre"
"572",2011-06-17,"Omelette"
"573",2011-06-17,"salsifis/ carottes creme"
"574",2011-06-17,"Eclair"
"575",2011-06-17,"Lait bio"
"576",2011-06-20,"Melon"
"577",2011-06-20,"Raviolis"
"578",2011-06-20,"fromage blanc+"
"579",2011-06-20,"dattes"
"580",2011-06-21,"Concombres A LA CREME"
"581",2011-06-21,"Poulet rôti"
"582",2011-06-21,"Frites"
"583",2011-06-21,"Flan caramel"
"584",2011-06-22,"salade de tomates"
"585",2011-06-22,"navarin de mouton"
"586",2011-06-22,"Riz"
"587",2011-06-22,"Tome blanche"
"588",2011-06-22,"fraise"
"589",2011-06-23,"Tarte au fromage"
"590",2011-06-23,"Rôti de porc au jus"
"591",2011-06-23,"Rôti de dinde au jus"
"592",2011-06-23,"RATATOUILLE"
"593",2011-06-23,"abricots"
"594",2011-06-24,"taboulé"
"595",2011-06-24,"Filet de poisson sauce Dieppoise"
"596",2011-06-24,"Batonnière de légumes agro"
"597",2011-06-24,"St Bricet"
"598",2011-06-24,"cerise"
"599",2011-06-27,"Salade aux dés de gruyère"
"600",2011-06-27,"paupiette sauce Agrumes"
"601",2011-06-27,"Pâtes"
"602",2011-06-27,"Compote stock"
"603",2011-06-28,"Betteraves stock"
"604",2011-06-28,"Rôti de bœuf foid"
"605",2011-06-28,"ketchup"
"606",2011-06-28,"Haricots beurre et plats"
"607",2011-06-28,"st paulin"
"608",2011-06-28,"fraise"
"609",2011-06-29,"Carottes râpées"
"610",2011-06-29,"jambon fumé"
"611",2011-06-29,"courgette à la  tomate"
"612",2011-06-29,"Port salut"
"613",2011-06-29,"tarte cerise"
"614",2011-06-30,"crêpe au fromage"
"615",2011-06-30,"Filet de lieu"
"616",2011-06-30,"sauce b blanc"
"617",2011-06-30,"epinards a la creme"
"618",2011-06-30,"Chèvre"
"619",2011-06-30,"nectarine"
"620",2011-07-01,"Tomates en salade"
"621",2011-07-01,"Pilon de poulet froid (apéro)"
"622",2011-07-01,"Chips"
"623",2011-07-01,"Champanet"
"624",2011-07-01,"cerise"
"625",2011-07-04,"Pastèque"
"626",2011-07-04,"Pâtes à la bolognaise"
"627",2011-07-04,"et gruyère râpé"
"628",2011-07-04,"creme dessert vanille"
"629",2011-07-05,"Radis/ beurre"
"630",2011-07-05,"pintade au jus"
"631",2011-07-05,"Petits pois"
"632",2011-07-05,"Camembert"
"633",2011-07-05,"Eclair chocolat"
"634",2011-07-06,"Gaspacho"
"635",2011-07-06,"sauté de veau aigre doux"
"636",2011-07-06,"Riz"
"637",2011-07-06,"St Nectaire"
"638",2011-07-06,"Cerises"
"639",2011-07-06,"Taboulé"
"640",2011-07-06,"Cordon bleu"
"641",2011-07-06,"Carottes au jus"
"642",2011-07-06,"Edam"
"643",2011-07-06,"Nectarine"
"644",2011-07-08,"Concombres"
"645",2011-07-08,"filet de lieu"
"646",2011-07-08,"beurre blanc"
"647",2011-07-08,"pomme vapeur"
"648",2011-07-08,"Yaourt aro"
"649",2011-07-11,"salade au surimi"
"650",2011-07-11,"Timbale de pâtes au jambon"
"651",2011-07-11,"Fromage blanc / fraises"
"652",2011-07-12,"salade de maïs et betteraves"
"653",2011-07-12,"Poisson meunière"
"654",2011-07-12,"Ratatouille"
"655",2011-07-12,"Tomme blanche"
"656",2011-07-12,"Abricots"
"657",2011-07-13,"Crêpe au fromage"
"658",2011-07-13,"rôti de bœuf"
"659",2011-07-13,"Haricots verts"
"660",2011-07-13,"Gouda"
"661",2011-07-13,"Pomme"
"662",2011-07-15,"Melon"
"663",2011-07-15,"Escaloppe de dinde"
"664",2011-07-15,"Pommes rissolées"
"665",2011-07-15,"Crème dessert vanille"
"666",2011-07-18,"Melon"
"667",2011-07-18,"lasagnes napolitaines"
"668",2011-07-18,"salade verte"
"669",2011-07-18,"Crème dessert chocolat"
"670",2011-07-19,"Salade de blé bio (Blé, tomate, concombres)"
"671",2011-07-19,"rôti de dinde"
"672",2011-07-19,"Salsifis béchamel"
"673",2011-07-19,"Chèvre"
"674",2011-07-19,"nectarine"
"675",2011-07-20,"Choux rouges"
"676",2011-07-20,"saucisses de Strasbourg??"
"677",2011-07-20,"frites"
"678",2011-07-20,"Yaourt bio"
"679",2011-07-21,"Salade verte au thon"
"680",2011-07-21,"cuisse de poulet rôtie"
"681",2011-07-21,"courgette à la Provençal"
"682",2011-07-21,"Morbier"
"683",2011-07-21,"Tarte aux pommes"
"684",2011-07-22,"Carottes râpées bio"
"685",2011-07-22,"filet de lieu  sauce beurre blanc"
"686",2011-07-22,"riz pilaf"
"687",2011-07-22,"Gruyère"
"688",2011-07-22,"pêche blanche"
"689",2011-07-25,"Pizza"
"690",2011-07-25,"Sauté de porc à l'ananas"
"691",2011-07-25,"Haricots verts"
"692",2011-07-25,"Abricots"
