week,indicator,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
202033,3,106,0,527,2,0,9,75,NOUVELLE-AQUITAINE
202033,3,1605,530,2680,20,7,33,84,AUVERGNE-RHONE-ALPES
202033,3,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
202033,3,913,25,1801,27,1,53,53,BRETAGNE
202033,3,0,0,0,0,0,0,24,CENTRE-VAL-DE-LOIRE
202033,3,13,0,54,4,0,16,94,CORSE
202033,3,360,0,957,3,0,8,11,ILE-DE-FRANCE
202033,3,882,0,1907,15,0,32,76,OCCITANIE
202033,3,0,0,0,0,0,0,32,HAUTS-DE-FRANCE
202033,3,864,0,2205,25,0,64,28,NORMANDIE
202033,3,223,0,759,6,0,20,52,PAYS-DE-LA-LOIRE
202033,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
202032,3,0,0,0,0,0,0,44,GRAND EST
202032,3,933,0,2216,15,0,36,75,NOUVELLE-AQUITAINE
202032,3,1374,296,2452,17,4,30,84,AUVERGNE-RHONE-ALPES
202032,3,28,0,151,1,0,5,27,BOURGOGNE-FRANCHE-COMTE
202032,3,573,141,1005,17,4,30,53,BRETAGNE
202032,3,201,0,457,8,0,18,24,CENTRE-VAL-DE-LOIRE
202032,3,0,0,0,0,0,0,94,CORSE
202032,3,268,0,687,2,0,5,11,ILE-DE-FRANCE
202032,3,370,0,970,6,0,16,76,OCCITANIE
202032,3,0,0,0,0,0,0,32,HAUTS-DE-FRANCE
202032,3,496,0,1356,15,0,40,28,NORMANDIE
202032,3,621,0,1382,16,0,36,52,PAYS-DE-LA-LOIRE
202032,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
202031,3,605,0,1353,11,0,24,44,GRAND EST
202031,3,848,0,1759,14,0,29,75,NOUVELLE-AQUITAINE
202031,3,0,0,0,0,0,0,84,AUVERGNE-RHONE-ALPES
202031,3,186,0,467,6,0,16,27,BOURGOGNE-FRANCHE-COMTE
202031,3,252,0,667,7,0,19,53,BRETAGNE
202031,3,397,5,789,15,0,30,24,CENTRE-VAL-DE-LOIRE
202031,3,0,0,0,0,0,0,94,CORSE
202031,3,0,0,0,0,0,0,11,ILE-DE-FRANCE
202031,3,670,0,1561,11,0,26,76,OCCITANIE
202031,3,0,0,0,0,0,0,32,HAUTS-DE-FRANCE
202031,3,374,0,1199,11,0,35,28,NORMANDIE
202031,3,1030,0,2148,27,0,56,52,PAYS-DE-LA-LOIRE
202031,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
202030,3,1612,339,2885,28,6,50,44,GRAND EST
202030,3,907,10,1804,15,0,30,75,NOUVELLE-AQUITAINE
202030,3,1024,129,1919,13,2,24,84,AUVERGNE-RHONE-ALPES
202030,3,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
202030,3,1007,116,1898,30,4,56,53,BRETAGNE
202030,3,275,0,597,10,0,22,24,CENTRE-VAL-DE-LOIRE
202030,3,0,0,0,0,0,0,94,CORSE
202030,3,0,0,0,0,0,0,11,ILE-DE-FRANCE
202030,3,1004,103,1905,17,2,32,76,OCCITANIE
202030,3,442,0,1199,7,0,19,32,HAUTS-DE-FRANCE
202030,3,913,0,1958,27,0,58,28,NORMANDIE
202030,3,938,0,1996,24,0,52,52,PAYS-DE-LA-LOIRE
202030,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
202029,3,845,0,1844,15,0,33,44,GRAND EST
202029,3,1780,520,3040,29,8,50,75,NOUVELLE-AQUITAINE
202029,3,901,0,1913,11,0,23,84,AUVERGNE-RHONE-ALPES
202029,3,493,0,1130,17,0,39,27,BOURGOGNE-FRANCHE-COMTE
202029,3,216,0,525,6,0,15,53,BRETAGNE
202029,3,447,0,948,17,0,36,24,CENTRE-VAL-DE-LOIRE
202029,3,0,0,0,0,0,0,94,CORSE
202029,3,73,0,270,1,0,3,11,ILE-DE-FRANCE
202029,3,891,0,2132,15,0,36,76,OCCITANIE
202029,3,1581,350,2812,26,6,46,32,HAUTS-DE-FRANCE
202029,3,685,0,1700,20,0,50,28,NORMANDIE
202029,3,798,0,1918,21,0,50,52,PAYS-DE-LA-LOIRE
202029,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
202028,3,554,0,1220,10,0,22,44,GRAND EST
202028,3,756,0,1551,12,0,25,75,NOUVELLE-AQUITAINE
202028,3,250,0,632,3,0,8,84,AUVERGNE-RHONE-ALPES
202028,3,470,0,1128,16,0,39,27,BOURGOGNE-FRANCHE-COMTE
202028,3,928,252,1604,27,7,47,53,BRETAGNE
202028,3,297,0,742,11,0,28,24,CENTRE-VAL-DE-LOIRE
202028,3,0,0,0,0,0,0,94,CORSE
202028,3,533,0,1418,4,0,11,11,ILE-DE-FRANCE
202028,3,1195,114,2276,20,2,38,76,OCCITANIE
202028,3,770,0,1661,13,0,28,32,HAUTS-DE-FRANCE
202028,3,1003,0,2043,29,0,60,28,NORMANDIE
202028,3,1174,18,2330,31,1,61,52,PAYS-DE-LA-LOIRE
202028,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
202027,3,70,0,208,1,0,3,44,GRAND EST
202027,3,315,0,815,5,0,13,75,NOUVELLE-AQUITAINE
202027,3,0,0,0,0,0,0,84,AUVERGNE-RHONE-ALPES
202027,3,586,0,1214,20,0,42,27,BOURGOGNE-FRANCHE-COMTE
202027,3,399,0,901,12,0,27,53,BRETAGNE
202027,3,143,0,423,5,0,16,24,CENTRE-VAL-DE-LOIRE
202027,3,56,0,130,16,0,38,94,CORSE
202027,3,0,0,0,0,0,0,11,ILE-DE-FRANCE
202027,3,1315,125,2505,22,2,42,76,OCCITANIE
202027,3,335,0,844,5,0,13,32,HAUTS-DE-FRANCE
202027,3,0,0,0,0,0,0,28,NORMANDIE
202027,3,535,12,1058,14,0,28,52,PAYS-DE-LA-LOIRE
202027,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
202026,3,648,0,1488,11,0,26,44,GRAND EST
202026,3,315,0,779,5,0,13,75,NOUVELLE-AQUITAINE
202026,3,981,320,1642,12,4,20,84,AUVERGNE-RHONE-ALPES
202026,3,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
202026,3,0,0,0,0,0,0,53,BRETAGNE
202026,3,0,0,0,0,0,0,24,CENTRE-VAL-DE-LOIRE
202026,3,23,0,68,7,0,20,94,CORSE
202026,3,415,0,1004,3,0,8,11,ILE-DE-FRANCE
202026,3,797,0,1660,13,0,27,76,OCCITANIE
202026,3,571,0,1242,9,0,20,32,HAUTS-DE-FRANCE
202026,3,0,0,0,0,0,0,28,NORMANDIE
202026,3,0,0,0,0,0,0,52,PAYS-DE-LA-LOIRE
202026,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
202025,3,0,0,0,0,0,0,44,GRAND EST
202025,3,417,0,945,7,0,16,75,NOUVELLE-AQUITAINE
202025,3,342,0,728,4,0,9,84,AUVERGNE-RHONE-ALPES
202025,3,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
202025,3,96,0,270,3,0,8,53,BRETAGNE
202025,3,143,0,321,5,0,12,24,CENTRE-VAL-DE-LOIRE
202025,3,0,0,0,0,0,0,94,CORSE
202025,3,360,0,926,3,0,8,11,ILE-DE-FRANCE
202025,3,250,0,650,4,0,11,76,OCCITANIE
202025,3,562,0,1219,9,0,20,32,HAUTS-DE-FRANCE
202025,3,106,0,345,3,0,10,28,NORMANDIE
202025,3,116,0,370,3,0,10,52,PAYS-DE-LA-LOIRE
202025,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
202024,3,346,0,971,6,0,17,44,GRAND EST
202024,3,288,0,746,5,0,13,75,NOUVELLE-AQUITAINE
202024,3,385,0,789,5,0,10,84,AUVERGNE-RHONE-ALPES
202024,3,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
202024,3,297,0,619,9,0,18,53,BRETAGNE
202024,3,377,0,763,14,0,29,24,CENTRE-VAL-DE-LOIRE
202024,3,0,0,0,0,0,0,94,CORSE
202024,3,1048,56,2040,9,1,17,11,ILE-DE-FRANCE
202024,3,0,0,0,0,0,0,76,OCCITANIE
202024,3,432,0,983,7,0,16,32,HAUTS-DE-FRANCE
202024,3,33,0,145,1,0,4,28,NORMANDIE
202024,3,34,0,179,1,0,5,52,PAYS-DE-LA-LOIRE
202024,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
202023,3,1844,305,3383,33,6,60,44,GRAND EST
202023,3,264,0,633,4,0,10,75,NOUVELLE-AQUITAINE
202023,3,136,0,368,2,0,5,84,AUVERGNE-RHONE-ALPES
202023,3,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
202023,3,178,0,454,5,0,13,53,BRETAGNE
202023,3,113,0,287,4,0,11,24,CENTRE-VAL-DE-LOIRE
202023,3,0,0,0,0,0,0,94,CORSE
202023,3,1047,120,1974,9,1,17,11,ILE-DE-FRANCE
202023,3,400,0,866,7,0,15,76,OCCITANIE
202023,3,317,0,804,5,0,13,32,HAUTS-DE-FRANCE
202023,3,0,0,0,0,0,0,28,NORMANDIE
202023,3,121,0,366,3,0,9,52,PAYS-DE-LA-LOIRE
202023,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
202022,3,0,0,0,0,0,0,44,GRAND EST
202022,3,110,0,360,2,0,6,75,NOUVELLE-AQUITAINE
202022,3,317,0,714,4,0,9,84,AUVERGNE-RHONE-ALPES
202022,3,798,0,2177,28,0,76,27,BOURGOGNE-FRANCHE-COMTE
202022,3,279,0,583,8,0,17,53,BRETAGNE
202022,3,89,0,242,3,0,9,24,CENTRE-VAL-DE-LOIRE
202022,3,0,0,0,0,0,0,94,CORSE
202022,3,860,0,1811,7,0,15,11,ILE-DE-FRANCE
202022,3,119,0,407,2,0,7,76,OCCITANIE
202022,3,330,0,916,5,0,15,32,HAUTS-DE-FRANCE
202022,3,0,0,0,0,0,0,28,NORMANDIE
202022,3,1205,0,2517,31,0,65,52,PAYS-DE-LA-LOIRE
202022,3,0,0,0,0,0,0,93,PROVENCE-ALPES-COTE-D-AZUR
202021,3,2397,510,4284,42,9,75,44,GRAND EST
202021,3,211,0,590,3,0,9,75,NOUVELLE-AQUITAINE
202021,3,856,104,1608,11,2,20,84,AUVERGNE-RHONE-ALPES
202021,3,255,0,1090,9,0,38,27,BOURGOGNE-FRANCHE-COMTE
202021,3,571,83,1059,17,3,31,53,BRETAGNE
202021,3,0,0,0,0,0,0,24,CENTRE-VAL-DE-LOIRE
202021,3,0,0,0,0,0,0,94,CORSE
202021,3,2024,27,4021,16,0,32,11,ILE-DE-FRANCE
202021,3,371,0,959,6,0,16,76,OCCITANIE
202021,3,321,0,919,5,0,15,32,HAUTS-DE-FRANCE
202021,3,69,0,231,2,0,7,28,NORMANDIE
202021,3,1096,0,2367,28,0,61,52,PAYS-DE-LA-LOIRE
202021,3,190,0,745,4,0,15,93,PROVENCE-ALPES-COTE-D-AZUR
202020,3,1547,282,2812,27,5,49,44,GRAND EST
202020,3,519,0,1042,9,0,18,75,NOUVELLE-AQUITAINE
202020,3,1431,280,2582,18,4,32,84,AUVERGNE-RHONE-ALPES
202020,3,776,0,1937,27,0,67,27,BOURGOGNE-FRANCHE-COMTE
202020,3,133,0,380,4,0,11,53,BRETAGNE
202020,3,330,0,663,13,0,26,24,CENTRE-VAL-DE-LOIRE
202020,3,63,0,162,19,0,48,94,CORSE
202020,3,1822,231,3413,15,2,28,11,ILE-DE-FRANCE
202020,3,967,49,1885,16,1,31,76,OCCITANIE
202020,3,286,0,743,5,0,12,32,HAUTS-DE-FRANCE
202020,3,361,0,777,11,0,23,28,NORMANDIE
202020,3,2105,149,4061,55,4,106,52,PAYS-DE-LA-LOIRE
202020,3,111,0,378,2,0,7,93,PROVENCE-ALPES-COTE-D-AZUR
202019,3,1336,155,2517,24,3,45,44,GRAND EST
202019,3,703,0,1421,12,0,24,75,NOUVELLE-AQUITAINE
202019,3,1415,338,2492,17,4,30,84,AUVERGNE-RHONE-ALPES
202019,3,138,0,545,5,0,19,27,BOURGOGNE-FRANCHE-COMTE
202019,3,380,0,793,11,0,23,53,BRETAGNE
202019,3,542,130,954,21,5,37,24,CENTRE-VAL-DE-LOIRE
202019,3,60,0,139,18,0,41,94,CORSE
202019,3,1850,404,3296,15,3,27,11,ILE-DE-FRANCE
202019,3,1449,309,2589,24,5,43,76,OCCITANIE
202019,3,1525,425,2625,25,7,43,32,HAUTS-DE-FRANCE
202019,3,207,0,517,6,0,15,28,NORMANDIE
202019,3,1441,0,2896,37,0,75,52,PAYS-DE-LA-LOIRE
202019,3,503,0,1105,10,0,22,93,PROVENCE-ALPES-COTE-D-AZUR
202018,3,2144,708,3580,38,13,63,44,GRAND EST
202018,3,1191,400,1982,20,7,33,75,NOUVELLE-AQUITAINE
202018,3,1564,404,2724,19,5,33,84,AUVERGNE-RHONE-ALPES
202018,3,1234,166,2302,43,6,80,27,BOURGOGNE-FRANCHE-COMTE
202018,3,604,116,1092,18,4,32,53,BRETAGNE
202018,3,364,38,690,14,2,26,24,CENTRE-VAL-DE-LOIRE
202018,3,83,0,167,24,0,49,94,CORSE
202018,3,2297,260,4334,19,2,36,11,ILE-DE-FRANCE
202018,3,1859,354,3364,31,6,56,76,OCCITANIE
202018,3,1924,632,3216,32,11,53,32,HAUTS-DE-FRANCE
202018,3,439,0,898,13,0,26,28,NORMANDIE
202018,3,2428,612,4244,63,16,110,52,PAYS-DE-LA-LOIRE
202018,3,1384,0,2842,27,0,56,93,PROVENCE-ALPES-COTE-D-AZUR
202017,3,2937,1381,4493,52,24,80,44,GRAND EST
202017,3,2131,908,3354,35,15,55,75,NOUVELLE-AQUITAINE
202017,3,1516,522,2510,19,7,31,84,AUVERGNE-RHONE-ALPES
202017,3,1346,0,2954,47,0,103,27,BOURGOGNE-FRANCHE-COMTE
202017,3,819,239,1399,24,7,41,53,BRETAGNE
202017,3,522,168,876,20,7,33,24,CENTRE-VAL-DE-LOIRE
202017,3,172,47,297,51,14,88,94,CORSE
202017,3,2491,634,4348,20,5,35,11,ILE-DE-FRANCE
202017,3,2160,673,3647,36,11,61,76,OCCITANIE
202017,3,2174,905,3443,36,15,57,32,HAUTS-DE-FRANCE
202017,3,818,0,1980,24,0,58,28,NORMANDIE
202017,3,1945,103,3787,51,3,99,52,PAYS-DE-LA-LOIRE
202017,3,156,0,656,3,0,13,93,PROVENCE-ALPES-COTE-D-AZUR
202016,3,1808,626,2990,32,11,53,44,GRAND EST
202016,3,1827,787,2867,30,13,47,75,NOUVELLE-AQUITAINE
202016,3,2490,1213,3767,31,15,47,84,AUVERGNE-RHONE-ALPES
202016,3,1173,298,2048,41,11,71,27,BOURGOGNE-FRANCHE-COMTE
202016,3,828,141,1515,24,4,44,53,BRETAGNE
202016,3,571,170,972,22,7,37,24,CENTRE-VAL-DE-LOIRE
202016,3,207,62,352,61,18,104,94,CORSE
202016,3,4576,1845,7307,37,15,59,11,ILE-DE-FRANCE
202016,3,4174,2074,6274,70,35,105,76,OCCITANIE
202016,3,2624,1290,3958,43,21,65,32,HAUTS-DE-FRANCE
202016,3,935,0,2357,27,0,69,28,NORMANDIE
202016,3,1855,0,3813,48,0,99,52,PAYS-DE-LA-LOIRE
202016,3,1874,0,3864,37,0,76,93,PROVENCE-ALPES-COTE-D-AZUR
202015,3,6982,4223,9741,123,74,172,44,GRAND EST
202015,3,2504,1220,3788,41,20,62,75,NOUVELLE-AQUITAINE
202015,3,5600,3617,7583,69,45,93,84,AUVERGNE-RHONE-ALPES
202015,3,1322,0,2998,46,0,104,27,BOURGOGNE-FRANCHE-COMTE
202015,3,938,316,1560,28,10,46,53,BRETAGNE
202015,3,896,402,1390,34,15,53,24,CENTRE-VAL-DE-LOIRE
202015,3,113,13,213,33,4,62,94,CORSE
202015,3,6853,3792,9914,56,31,81,11,ILE-DE-FRANCE
202015,3,5285,3102,7468,89,52,126,76,OCCITANIE
202015,3,4072,2418,5726,67,40,94,32,HAUTS-DE-FRANCE
202015,3,1626,42,3210,48,1,95,28,NORMANDIE
202015,3,2196,831,3561,57,22,92,52,PAYS-DE-LA-LOIRE
202015,3,2214,386,4042,43,7,79,93,PROVENCE-ALPES-COTE-D-AZUR
202014,3,9873,6948,12798,175,123,227,44,GRAND EST
202014,3,5691,3704,7678,93,60,126,75,NOUVELLE-AQUITAINE
202014,3,8583,6067,11099,106,75,137,84,AUVERGNE-RHONE-ALPES
202014,3,1933,825,3041,67,29,105,27,BOURGOGNE-FRANCHE-COMTE
202014,3,2784,1797,3771,82,53,111,53,BRETAGNE
202014,3,1725,1003,2447,65,38,92,24,CENTRE-VAL-DE-LOIRE
202014,3,350,165,535,103,49,157,94,CORSE
202014,3,16534,12116,20952,135,99,171,11,ILE-DE-FRANCE
202014,3,6233,3962,8504,104,66,142,76,OCCITANIE
202014,3,5057,3118,6996,83,51,115,32,HAUTS-DE-FRANCE
202014,3,3715,2221,5209,109,65,153,28,NORMANDIE
202014,3,3311,1877,4745,86,49,123,52,PAYS-DE-LA-LOIRE
202014,3,3507,704,6310,69,14,124,93,PROVENCE-ALPES-COTE-D-AZUR
202013,3,14649,11414,17884,259,202,316,44,GRAND EST
202013,3,6073,4101,8045,100,68,132,75,NOUVELLE-AQUITAINE
202013,3,10794,8295,13293,133,102,164,84,AUVERGNE-RHONE-ALPES
202013,3,3278,1501,5055,114,52,176,27,BOURGOGNE-FRANCHE-COMTE
202013,3,2832,1740,3924,83,51,115,53,BRETAGNE
202013,3,2729,1827,3631,104,70,138,24,CENTRE-VAL-DE-LOIRE
202013,3,231,96,366,68,28,108,94,CORSE
202013,3,35112,28458,41766,286,232,340,11,ILE-DE-FRANCE
202013,3,7431,5078,9784,124,85,163,76,OCCITANIE
202013,3,7425,5080,9770,122,84,160,32,HAUTS-DE-FRANCE
202013,3,3509,2212,4806,103,65,141,28,NORMANDIE
202013,3,5518,3803,7233,143,98,188,52,PAYS-DE-LA-LOIRE
202013,3,8281,4154,12408,162,81,243,93,PROVENCE-ALPES-COTE-D-AZUR
202012,3,14218,11257,17179,251,199,303,44,GRAND EST
202012,3,5980,3859,8101,98,63,133,75,NOUVELLE-AQUITAINE
202012,3,13166,9993,16339,162,123,201,84,AUVERGNE-RHONE-ALPES
202012,3,2190,1089,3291,76,38,114,27,BOURGOGNE-FRANCHE-COMTE
202012,3,2188,1211,3165,64,35,93,53,BRETAGNE
202012,3,2294,1492,3096,87,57,117,24,CENTRE-VAL-DE-LOIRE
202012,3,156,38,274,46,11,81,94,CORSE
202012,3,36162,29294,43030,294,238,350,11,ILE-DE-FRANCE
202012,3,6094,4169,8019,102,70,134,76,OCCITANIE
202012,3,7733,5427,10039,127,89,165,32,HAUTS-DE-FRANCE
202012,3,7531,4254,10808,221,125,317,28,NORMANDIE
202012,3,4880,2401,7359,127,63,191,52,PAYS-DE-LA-LOIRE
202012,3,6248,3580,8916,122,70,174,93,PROVENCE-ALPES-COTE-D-AZUR
202011,3,12288,9340,15236,217,165,269,44,GRAND EST
202011,3,7297,4752,9842,120,78,162,75,NOUVELLE-AQUITAINE
202011,3,13558,10104,17012,167,124,210,84,AUVERGNE-RHONE-ALPES
202011,3,2296,1198,3394,80,42,118,27,BOURGOGNE-FRANCHE-COMTE
202011,3,5922,4272,7572,174,126,222,53,BRETAGNE
202011,3,3844,2891,4797,146,110,182,24,CENTRE-VAL-DE-LOIRE
202011,3,255,90,420,75,26,124,94,CORSE
202011,3,18804,14583,23025,153,119,187,11,ILE-DE-FRANCE
202011,3,14260,11067,17453,239,186,292,76,OCCITANIE
202011,3,8450,5906,10994,139,97,181,32,HAUTS-DE-FRANCE
202011,3,2151,706,3596,63,21,105,28,NORMANDIE
202011,3,3924,2335,5513,102,61,143,52,PAYS-DE-LA-LOIRE
202011,3,8397,5498,11296,164,107,221,93,PROVENCE-ALPES-COTE-D-AZUR
202010,3,10469,7648,13290,185,135,235,44,GRAND EST
202010,3,8800,6297,11303,144,103,185,75,NOUVELLE-AQUITAINE
202010,3,16522,13008,20036,203,160,246,84,AUVERGNE-RHONE-ALPES
202010,3,3211,1758,4664,111,61,161,27,BOURGOGNE-FRANCHE-COMTE
202010,3,4684,3283,6085,137,96,178,53,BRETAGNE
202010,3,4645,3607,5683,176,137,215,24,CENTRE-VAL-DE-LOIRE
202010,3,191,58,324,56,17,95,94,CORSE
202010,3,16087,12247,19927,131,100,162,11,ILE-DE-FRANCE
202010,3,8224,6069,10379,138,102,174,76,OCCITANIE
202010,3,13613,10179,17047,223,167,279,32,HAUTS-DE-FRANCE
202010,3,2651,1137,4165,78,34,122,28,NORMANDIE
202010,3,2842,1469,4215,74,38,110,52,PAYS-DE-LA-LOIRE
202010,3,12040,8572,15508,236,168,304,93,PROVENCE-ALPES-COTE-D-AZUR
202009,3,5315,3488,7142,94,62,126,44,GRAND EST
202009,3,12434,9338,15530,204,153,255,75,NOUVELLE-AQUITAINE
202009,3,24911,20476,29346,307,252,362,84,AUVERGNE-RHONE-ALPES
202009,3,6210,4129,8291,215,143,287,27,BOURGOGNE-FRANCHE-COMTE
202009,3,6444,4737,8151,189,139,239,53,BRETAGNE
202009,3,3976,2810,5142,151,107,195,24,CENTRE-VAL-DE-LOIRE
202009,3,219,75,363,64,22,106,94,CORSE
202009,3,9650,6830,12470,79,56,102,11,ILE-DE-FRANCE
202009,3,7423,5256,9590,124,88,160,76,OCCITANIE
202009,3,11702,8429,14975,192,138,246,32,HAUTS-DE-FRANCE
202009,3,3017,953,5081,89,28,150,28,NORMANDIE
202009,3,3408,1825,4991,89,48,130,52,PAYS-DE-LA-LOIRE
202009,3,15076,11114,19038,295,217,373,93,PROVENCE-ALPES-COTE-D-AZUR
202008,3,14307,11054,17560,253,196,310,44,GRAND EST
202008,3,18736,14894,22578,307,244,370,75,NOUVELLE-AQUITAINE
202008,3,27749,23617,31881,342,291,393,84,AUVERGNE-RHONE-ALPES
202008,3,11613,8784,14442,402,304,500,27,BOURGOGNE-FRANCHE-COMTE
202008,3,8911,6808,11014,262,200,324,53,BRETAGNE
202008,3,4295,3232,5358,163,123,203,24,CENTRE-VAL-DE-LOIRE
202008,3,175,31,319,51,9,93,94,CORSE
202008,3,8941,6218,11664,73,51,95,11,ILE-DE-FRANCE
202008,3,8187,5803,10571,137,97,177,76,OCCITANIE
202008,3,12956,9237,16675,213,152,274,32,HAUTS-DE-FRANCE
202008,3,5596,2768,8424,164,81,247,28,NORMANDIE
202008,3,8966,5190,12742,233,135,331,52,PAYS-DE-LA-LOIRE
202008,3,17321,12973,21669,339,254,424,93,PROVENCE-ALPES-COTE-D-AZUR
202007,3,17271,13789,20753,305,243,367,44,GRAND EST
202007,3,22033,17961,26105,362,295,429,75,NOUVELLE-AQUITAINE
202007,3,32477,27933,37021,400,344,456,84,AUVERGNE-RHONE-ALPES
202007,3,8977,6808,11146,311,236,386,27,BOURGOGNE-FRANCHE-COMTE
202007,3,11293,9003,13583,331,264,398,53,BRETAGNE
202007,3,6444,5214,7674,245,198,292,24,CENTRE-VAL-DE-LOIRE
202007,3,518,294,742,152,86,218,94,CORSE
202007,3,18649,14501,22797,152,118,186,11,ILE-DE-FRANCE
202007,3,12444,9418,15470,208,157,259,76,OCCITANIE
202007,3,14642,11049,18235,240,181,299,32,HAUTS-DE-FRANCE
202007,3,5627,3156,8098,165,92,238,28,NORMANDIE
202007,3,14348,10318,18378,373,268,478,52,PAYS-DE-LA-LOIRE
202007,3,21310,17041,25579,417,333,501,93,PROVENCE-ALPES-COTE-D-AZUR
202006,3,16628,13298,19958,294,235,353,44,GRAND EST
202006,3,24875,20406,29344,408,335,481,75,NOUVELLE-AQUITAINE
202006,3,30571,26072,35070,376,321,431,84,AUVERGNE-RHONE-ALPES
202006,3,7438,5390,9486,258,187,329,27,BOURGOGNE-FRANCHE-COMTE
202006,3,12144,9943,14345,356,291,421,53,BRETAGNE
