week,indicator,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
202037,3,1028,33,2023,18,0,36,44,GRAND EST
202037,3,1289,244,2334,21,4,38,75,NOUVELLE-AQUITAINE
202037,3,1733,680,2786,21,8,34,84,AUVERGNE-RHONE-ALPES
202037,3,1077,0,2240,37,0,77,27,BOURGOGNE-FRANCHE-COMTE
202037,3,2235,1231,3239,66,37,95,53,BRETAGNE
202037,3,916,204,1628,35,8,62,24,CENTRE-VAL-DE-LOIRE
202037,3,0,0,0,0,0,0,94,CORSE
202037,3,2794,557,5031,23,5,41,11,ILE-DE-FRANCE
202037,3,1930,551,3309,32,9,55,76,OCCITANIE
202037,3,2299,629,3969,38,11,65,32,HAUTS-DE-FRANCE
202037,3,832,0,1743,24,0,51,28,NORMANDIE
202037,3,743,0,1563,19,0,40,52,PAYS-DE-LA-LOIRE
202037,3,2364,289,4439,46,5,87,93,PROVENCE-ALPES-COTE-D-AZUR
202036,3,593,0,1434,10,0,25,44,GRAND EST
202036,3,941,0,1970,15,0,32,75,NOUVELLE-AQUITAINE
202036,3,1846,881,2811,23,11,35,84,AUVERGNE-RHONE-ALPES
202036,3,101,0,433,3,0,15,27,BOURGOGNE-FRANCHE-COMTE
202036,3,553,105,1001,16,3,29,53,BRETAGNE
202036,3,738,166,1310,28,6,50,24,CENTRE-VAL-DE-LOIRE
202036,3,0,0,0,0,0,0,94,CORSE
202036,3,794,0,1757,6,0,14,11,ILE-DE-FRANCE
202036,3,1203,0,2416,20,0,40,76,OCCITANIE
202036,3,842,0,2215,14,0,37,32,HAUTS-DE-FRANCE
202036,3,846,18,1674,25,1,49,28,NORMANDIE
202036,3,1006,18,1994,26,0,52,52,PAYS-DE-LA-LOIRE
202036,3,922,0,2363,18,0,46,93,PROVENCE-ALPES-COTE-D-AZUR
202035,3,6204,3134,9274,110,56,164,44,GRAND EST
202035,3,965,14,1916,16,0,32,75,NOUVELLE-AQUITAINE
202035,3,772,98,1446,10,2,18,84,AUVERGNE-RHONE-ALPES
202035,3,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
202035,3,244,0,588,7,0,17,53,BRETAGNE
202035,3,71,0,277,3,0,11,24,CENTRE-VAL-DE-LOIRE
202035,3,4,0,29,1,0,8,94,CORSE
202035,3,1015,0,2275,8,0,18,11,ILE-DE-FRANCE
202035,3,1020,53,1987,17,1,33,76,OCCITANIE
202035,3,215,0,708,4,0,12,32,HAUTS-DE-FRANCE
202035,3,1066,0,2331,31,0,68,28,NORMANDIE
202035,3,683,0,1525,18,0,40,52,PAYS-DE-LA-LOIRE
202035,3,1068,0,2553,21,0,50,93,PROVENCE-ALPES-COTE-D-AZUR
202034,3,0,0,0,0,0,0,44,GRAND EST
202034,3,227,0,703,4,0,12,75,NOUVELLE-AQUITAINE
202034,3,1156,219,2093,14,2,26,84,AUVERGNE-RHONE-ALPES
202034,3,0,0,0,0,0,0,27,BOURGOGNE-FRANCHE-COMTE
202034,3,137,0,435,4,0,13,53,BRETAGNE
202034,3,168,0,457,6,0,17,24,CENTRE-VAL-DE-LOIRE
202034,3,30,0,96,9,0,28,94,CORSE
202034,3,460,0,1407,4,0,12,11,ILE-DE-FRANCE
202034,3,1967,473,3461,33,8,58,76,OCCITANIE
202034,3,0,0,0,0,0,0,32,HAUTS-DE-FRANCE
202034,3,673,0,2172,20,0,64,28,NORMANDIE
202034,3,0,0,0,0,0,0,52,PAYS-DE-LA-LOIRE
202034,3,892,0,2333,17,0,45,93,PROVENCE-ALPES-COTE-D-AZUR
202033,3,0,0,0,0,0,0,44,GRAND EST
